iter	RMSE
0	6.30405109
1	6.285501588
2	6.271691333
3	6.254299813
4	6.24061401
5	6.226915768
6	6.216024671
7	6.199517556
8	6.185055636
9	6.171374419
10	6.162417073
11	6.148732443
12	6.139600631
13	6.130046186
14	6.116428137
15	6.106055159
16	6.097348863
17	6.085734119
18	6.074820357
19	6.067618478
20	6.060238297
21	6.050688484
22	6.041587137
23	6.034296189
24	6.024057459
25	6.013219409
26	6.003374232
27	5.995116776
28	5.986098971
29	5.980144723
30	5.973393925
31	5.965273071
32	5.956345275
33	5.94814521
34	5.938650211
35	5.933699134
36	5.923584724
37	5.913694185
38	5.906924812
39	5.897162482
40	5.888376348
41	5.87900444
42	5.873969908
43	5.866729686
44	5.854527096
45	5.847079924
46	5.835578078
47	5.831937095
48	5.824415622
49	5.817977501
50	5.811433384
51	5.807325511
52	5.803321504
53	5.795722073
54	5.792828325
55	5.784796166
56	5.77665569
57	5.770751189
58	5.766771354
59	5.763026557
60	5.758481309
61	5.753995229
62	5.748599562
63	5.737748281
64	5.733613233
65	5.724480525
66	5.713126964
67	5.7097376
68	5.703421736
69	5.697039642
70	5.692244293
71	5.687207707
72	5.682920783
73	5.676478967
74	5.672526812
75	5.668972312
76	5.660365343
77	5.652675445
78	5.646034312
79	5.642557251
80	5.635964155
81	5.631648875
82	5.626669765
83	5.620081767
84	5.616336516
85	5.611478129
86	5.606110577
87	5.599570769
88	5.59453559
89	5.589601145
90	5.586152159
91	5.578667555
92	5.57392351
93	5.562726724
94	5.556497452
95	5.552846361
96	5.550692391
97	5.542889231
98	5.539837736
99	5.536212054
100	5.52896374
101	5.523717494
102	5.519020962
103	5.514872654
104	5.508171437
105	5.504014538
106	5.496526589
107	5.491549376
108	5.486062118
109	5.481192807
110	5.477434455
111	5.471988769
112	5.463870941
113	5.460556654
114	5.458463116
115	5.456150735
116	5.45416891
117	5.450109973
118	5.442277891
119	5.439965614
120	5.431233554
121	5.423774516
122	5.420312413
123	5.415668473
124	5.410632502
125	5.409449379
126	5.404236636
127	5.400780187
128	5.397122863
129	5.391999951
130	5.385877277
131	5.383431226
132	5.37878582
133	5.37542382
134	5.366298673
135	5.364170812
136	5.359053874
137	5.35192234
138	5.348636506
139	5.344600062
140	5.341451628
141	5.339856305
142	5.337745747
143	5.330780669
144	5.32841167
145	5.321685963
146	5.31703293
147	5.309597374
148	5.305247954
149	5.302660866
150	5.297372099
151	5.293963177
152	5.29005561
153	5.282354268
154	5.278094547
155	5.271922061
156	5.26533404
157	5.263153899
158	5.261127548
159	5.255151647
160	5.248059542
161	5.242287583
162	5.240614965
163	5.238250104
164	5.232138006
165	5.225774438
166	5.224638542
167	5.219999186
168	5.216621728
169	5.212596655
170	5.208274476
171	5.205795049
172	5.203227702
173	5.197890782
174	5.19601688
175	5.18827522
176	5.182394781
177	5.172501327
178	5.16898523
179	5.166292234
180	5.160371768
181	5.155299605
182	5.14907121
183	5.142876143
184	5.139599836
185	5.135893576
186	5.133999473
187	5.133247341
188	5.129252974
189	5.123989934
190	5.119611789
191	5.110534074
192	5.107358502
193	5.105825152
194	5.10363271
