gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020037,2024-10-12,False,SJS,30,30,2,0,30,28,False,False,60,57,41,46
2024020041,2024-10-13,False,VGK,23,32,1,3,29,22,True,False,59,74,39,55
2024020060,2024-10-16,True,UTA,34,30,5,4,26,29,False,False,66,68,46,46
2024020074,2024-10-18,False,COL,19,49,3,4,45,16,False,False,66,90,38,67
2024020090,2024-10-20,True,LAK,14,36,1,4,32,13,False,False,43,66,26,53
2024020105,2024-10-22,True,SJS,40,28,3,1,27,37,False,False,85,66,59,48
2024020128,2024-10-26,False,NYR,33,32,1,2,30,32,False,False,65,69,46,51
2024020137,2024-10-27,False,NJD,26,34,2,6,28,24,True,False,51,61,36,51
2024020152,2024-10-29,False,NYI,22,41,3,1,40,19,False,False,61,80,33,64
2024020163,2024-10-31,False,PIT,23,45,1,2,43,22,False,False,64,84,36,68
2024020191,2024-11-03,True,CHI,40,29,2,4,25,38,False,False,74,66,63,39
2024020203,2024-11-05,True,VAN,22,37,1,5,32,21,False,False,53,60,34,51
2024020222,2024-11-08,True,MIN,35,31,2,5,26,33,False,False,83,61,63,40
2024020238,2024-11-10,True,CBJ,30,40,4,2,38,26,False,False,65,80,43,58
2024020256,2024-11-13,True,VGK,24,39,2,3,36,22,False,False,65,73,49,54
2024020271,2024-11-15,True,DET,29,25,6,4,21,23,False,False,61,54,44,42
2024020291,2024-11-18,False,DAL,27,36,4,2,34,23,False,False,57,76,36,60
2024020298,2024-11-19,False,CHI,24,20,3,2,18,21,True,False,56,43,42,27
2024020317,2024-11-22,True,BUF,24,32,2,3,30,22,False,False,65,67,46,56
2024020343,2024-11-25,True,SEA,23,28,2,3,25,21,False,False,51,63,33,50
2024020360,2024-11-27,False,SEA,33,44,5,2,42,28,False,False,64,85,48,67
2024020370,2024-11-29,True,LAK,31,18,1,2,16,30,False,False,73,46,52,36
2024020392,2024-12-01,True,OTT,34,31,4,3,28,31,False,False,63,74,45,55
2024020408,2024-12-04,True,VGK,20,33,1,4,29,19,False,False,51,65,36,44
2024020424,2024-12-06,True,MIN,27,33,1,5,28,26,False,False,59,70,45,47
2024020445,2024-12-09,False,MTL,29,21,2,3,19,27,False,False,61,55,48,37
2024020458,2024-12-11,False,OTT,32,34,1,5,29,31,False,False,56,61,40,45
2024020459,2024-12-12,False,TOR,28,33,2,3,30,26,True,False,53,62,37,51
2024020481,2024-12-14,False,CBJ,27,42,4,3,39,23,False,False,66,67,40,49
2024020511,2024-12-18,True,WPG,31,23,3,2,21,28,False,False,65,55,48,34
2024020527,2024-12-20,True,COL,32,23,2,4,19,30,False,False,54,59,41,36
2024020542,2024-12-22,False,UTA,30,25,5,4,21,26,False,False,61,65,39,39
2024020557,2024-12-23,False,VGK,32,33,1,3,30,31,True,True,59,72,47,56
2024020568,2024-12-28,True,PHI,33,25,1,3,22,32,False,False,65,60,48,41
2024020578,2024-12-29,True,EDM,32,23,5,3,20,27,True,False,60,51,46,35
2024020598,2024-12-31,True,NJD,26,34,3,2,32,23,False,False,60,61,37,50
2024020609,2025-01-02,False,WPG,24,30,4,3,27,20,False,False,58,60,35,50
2024020618,2025-01-03,False,EDM,29,26,2,3,23,27,True,False,51,64,39,46
2024020636,2025-01-05,True,TBL,26,37,4,1,36,22,False,False,60,69,36,57
2024020648,2025-01-07,True,CGY,28,33,2,3,30,26,False,False,54,68,38,57
2024020661,2025-01-09,False,STL,23,34,2,6,28,21,False,True,54,63,35,45
2024020675,2025-01-11,False,PHI,22,30,0,6,24,22,False,False,51,57,31,43
2024020687,2025-01-12,False,CAR,20,37,3,2,35,17,True,False,55,66,27,56
2024020697,2025-01-14,False,WSH,19,25,0,3,22,19,False,False,49,64,32,48
2024020709,2025-01-16,False,TBL,37,35,3,4,32,34,False,False,61,69,48,51
2024020725,2025-01-18,False,FLA,34,45,0,3,42,34,False,False,61,77,45,61
2024020756,2025-01-21,True,FLA,30,29,2,5,24,28,False,False,64,57,47,42
2024020769,2025-01-23,True,PIT,34,32,5,1,31,29,False,False,66,59,49,49
2024020787,2025-01-25,True,NSH,35,43,5,2,41,30,False,True,80,74,54,60
2024020806,2025-01-28,False,SEA,23,30,6,4,26,17,False,False,54,57,35,45
2024020818,2025-01-30,False,CGY,31,30,1,4,26,30,False,False,66,68,47,43
2024020837,2025-02-02,True,MTL,22,23,3,2,21,19,False,False,51,57,34,35
2024020856,2025-02-04,True,DAL,28,27,2,1,26,26,False,False,63,52,45,39
2024020888,2025-02-08,False,LAK,26,45,2,1,44,25,False,False,61,91,45,68
2024020899,2025-02-22,False,BOS,29,30,3,2,28,26,False,True,63,55,43,43
2024020908,2025-02-23,False,DET,28,36,4,5,31,24,True,False,54,70,42,58
2024020919,2025-02-25,False,BUF,18,37,2,3,34,16,False,False,50,77,31,64
2024020944,2025-02-27,True,VAN,25,24,5,2,22,20,False,False,50,54,34,37
