gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020017,False,NJD,33,36,4,3,33,30,False
2023020037,False,NYR,27,28,1,2,26,26,False
2023020043,False,NYI,14,34,0,1,33,14,True
2023020057,False,STL,42,26,6,2,24,36,False
2023020066,True,ANA,27,33,2,1,32,25,False
2023020097,False,LAK,27,28,3,6,22,24,False
2023020115,True,LAK,24,41,4,5,36,20,False
2023020137,True,CHI,33,30,8,1,29,25,False
2023020144,False,ANA,35,29,3,4,25,32,False
2023020153,True,MTL,35,30,3,2,28,32,True
2023020160,True,WPG,25,27,3,5,22,22,False
2023020185,True,SEA,27,38,4,3,35,24,False
2023020199,False,STL,20,33,1,2,31,19,False
2023020218,False,NSH,25,42,7,5,37,18,False
2023020233,False,DAL,26,36,3,4,32,23,False
2023020243,False,CBJ,32,41,3,2,39,29,False
2023020262,False,WPG,18,26,2,5,21,16,False
2023020276,True,LAK,31,25,1,4,21,30,False
2023020287,True,STL,25,31,5,6,25,20,False
2023020315,False,VGK,18,34,2,0,34,16,False
2023020334,True,TBL,27,31,3,1,30,24,False
2023020350,True,COL,32,31,4,3,28,29,False
2023020365,True,STL,22,32,4,1,31,18,False
2023020378,True,WSH,27,26,6,0,26,21,False
2023020400,True,PHI,26,26,1,4,22,25,False
2023020408,False,BOS,33,29,3,5,24,30,False
2023020428,False,BUF,23,38,2,5,33,21,False
2023020434,False,PIT,21,43,2,4,39,19,True
2023020459,True,SJS,24,21,1,0,21,23,False
2023020470,True,BUF,22,28,2,0,28,20,True
2023020493,True,OTT,38,22,4,3,19,34,False
2023020509,False,SJS,30,31,5,2,29,25,False
2023020525,False,COL,25,26,1,4,22,24,False
2023020537,True,COL,27,24,5,4,20,22,False
2023020553,False,ANA,32,28,2,0,28,30,False
2023020581,True,FLA,22,38,1,4,35,21,False
2023020597,True,NYI,27,31,1,5,26,26,False
2023020619,True,WPG,17,36,2,6,31,15,False
2023020633,True,BOS,36,33,4,3,30,32,False
2023020649,True,CGY,34,30,2,6,24,32,False
2023020665,False,MIN,33,38,6,0,38,27,False
2023020687,False,CGY,25,30,2,3,27,23,False
2023020700,False,VAN,21,26,1,2,24,20,False
2023020708,True,NSH,24,32,3,2,30,21,False
2023020727,True,PIT,26,27,5,2,25,22,False
2023020739,False,FLA,33,42,2,6,36,31,False
2023020750,False,TBL,20,37,3,6,31,17,True
2023020763,False,CAR,11,39,1,3,36,10,False
2023020800,True,VGK,22,34,2,3,31,20,False
2023020815,False,NSH,31,37,4,5,32,27,False
2023020821,False,PHI,23,34,3,5,29,20,False
2023020836,True,MIN,26,43,1,3,40,25,False
2023020849,True,CAR,31,30,1,5,25,30,False
2023020864,False,COL,30,37,3,4,33,27,False
2023020871,True,EDM,25,26,3,6,20,22,True
2023020887,True,TOR,26,36,3,6,30,23,False
2023020921,False,WPG,32,32,3,4,28,29,False
2023020929,False,MTL,38,21,2,4,17,36,False
2023020946,False,TOR,32,26,2,4,22,30,False
2023020953,False,OTT,30,37,5,3,34,25,True
2023020969,False,WSH,28,26,5,2,24,23,False
2023020987,True,CHI,39,32,2,5,27,37,False
2023021001,True,MIN,25,28,2,5,23,23,False
2023021005,True,DET,24,28,4,0,28,20,True
2023021025,False,CHI,36,41,4,7,34,32,False
2023021037,False,MIN,23,31,1,4,27,22,False
2023021048,False,DET,27,29,4,1,28,23,False
2023021062,True,NJD,32,38,4,1,37,28,False
2023021096,False,DAL,25,33,2,5,28,23,False
2023021112,True,SEA,26,28,2,1,27,24,False
2023021130,True,DAL,28,35,2,4,31,26,False
2023021145,True,CBJ,35,27,6,2,25,29,False
2023021161,True,NSH,40,37,8,4,33,32,False
2023021168,True,NYR,32,32,5,8,24,27,False
2023021200,True,VAN,21,33,1,2,31,20,False
2023021216,True,VGK,32,24,7,4,20,25,False
2023021231,False,SJS,28,27,5,2,25,23,False
2023021250,False,SEA,39,25,0,5,20,39,False
2023021254,False,VAN,18,26,4,3,23,14,True
2023021267,False,EDM,28,41,3,2,39,25,False
2023021286,False,CGY,35,31,5,6,25,30,False
2023021306,True,EDM,24,30,5,2,28,19,False
