gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2024020004,2024-10-08,False,FLA,28,35,4,6,29,24,False
2024020011,2024-10-10,True,MTL,29,24,6,4,20,23,False
2024020024,2024-10-12,True,LAK,26,34,2,1,33,24,False
2024020042,2024-10-14,True,FLA,27,26,3,4,22,24,False
2024020059,2024-10-16,False,COL,26,25,5,3,22,21,False
2024020086,2024-10-19,False,UTA,22,32,1,2,30,21,False
2024020101,2024-10-22,False,NSH,33,42,0,4,38,33,False
2024020109,2024-10-24,True,DAL,27,32,2,5,27,25,False
2024020125,2024-10-26,True,TOR,34,23,4,3,20,30,False
2024020148,2024-10-29,True,PHI,25,19,0,2,17,25,False
2024020165,2024-10-31,False,CAR,15,37,2,8,29,13,False
2024020175,2024-11-02,False,PHI,31,20,3,0,20,28,False
2024020187,2024-11-03,True,SEA,33,23,2,0,23,31,True
2024020195,2024-11-05,False,TOR,29,27,0,4,23,29,False
2024020208,2024-11-07,True,CGY,38,37,4,3,34,34,False
2024020226,2024-11-09,True,OTT,16,34,2,3,31,14,False
2024020248,2024-11-12,False,STL,30,22,3,2,20,27,False
2024020262,2024-11-14,False,DAL,25,38,2,7,31,23,False
2024020272,2024-11-16,True,STL,18,31,2,3,28,16,False
2024020288,2024-11-18,True,CBJ,29,28,1,5,23,28,False
2024020306,2024-11-21,True,UTA,31,22,1,0,22,30,False
2024020324,2024-11-23,False,DET,29,20,2,1,19,27,False
2024020345,2024-11-26,True,VAN,33,15,0,2,13,33,False
2024020353,2024-11-27,False,NYI,21,24,6,3,21,15,True
2024020372,2024-11-29,True,PIT,31,36,1,2,34,30,False
2024020389,2024-12-01,True,MTL,30,28,6,3,25,24,False
2024020396,2024-12-03,True,DET,35,25,3,2,23,32,False
2024020407,2024-12-04,False,CHI,27,22,4,2,20,23,True
2024020425,2024-12-07,True,PHI,31,26,4,3,23,27,False
2024020452,2024-12-10,False,WPG,24,35,1,8,27,23,False
2024020472,2024-12-12,False,SEA,34,21,1,5,16,33,False
2024020486,2024-12-14,False,VAN,28,20,5,1,19,23,False
2024020504,2024-12-17,False,CGY,35,23,4,3,20,31,False
2024020518,2024-12-19,False,EDM,26,26,2,3,23,24,False
2024020531,2024-12-21,True,BUF,19,20,3,1,19,16,False
2024020547,2024-12-23,True,WSH,22,11,4,1,10,18,False
2024020561,2024-12-27,False,CBJ,26,33,2,6,27,24,False
2024020570,2024-12-28,True,CBJ,28,18,4,0,18,24,True
2024020589,2024-12-31,False,WSH,27,27,1,3,24,26,False
2024020604,2025-01-02,False,NYR,33,27,1,2,25,32,False
2024020623,2025-01-04,False,TOR,31,29,4,6,23,27,False
2024020633,2025-01-05,True,NYI,30,37,4,5,32,26,True
2024020641,2025-01-07,True,EDM,26,39,0,4,35,26,False
2024020655,2025-01-09,False,TBL,28,31,1,4,27,27,False
2024020669,2025-01-11,False,FLA,18,43,4,3,40,14,False
2024020692,2025-01-14,True,TBL,24,45,6,2,43,18,False
2024020723,2025-01-18,False,OTT,28,44,5,6,39,23,False
2024020740,2025-01-20,True,SJS,33,28,6,3,25,27,False
2024020758,2025-01-22,False,NJD,23,34,1,5,29,22,False
2024020761,2025-01-23,True,OTT,26,29,2,0,29,24,True
2024020776,2025-01-25,True,COL,15,28,3,1,27,12,False
2024020799,2025-01-28,False,BUF,27,33,2,7,26,25,False
2024020812,2025-01-30,True,WPG,28,28,2,6,22,26,False
2024020827,2025-02-01,True,NYR,25,25,6,3,22,19,False
2024020845,2025-02-04,True,MIN,35,36,3,0,36,32,False
2024020859,2025-02-05,False,NYR,17,22,2,3,19,15,True
2024020879,2025-02-08,True,VGK,24,38,3,4,34,21,False
