gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020005,2024-10-08,False,UTA,26,27,2,5,22,24,False,False
2024020021,2024-10-11,False,WPG,26,35,1,2,33,25,False,False
2024020036,2024-10-12,False,EDM,20,38,5,2,36,15,True,False
2024020055,2024-10-15,False,CGY,32,27,1,3,24,31,False,False
2024020070,2024-10-17,True,SJS,27,22,4,2,20,23,False,False
2024020085,2024-10-19,True,BUF,37,22,2,4,18,35,False,False
2024020100,2024-10-22,True,VAN,34,30,3,6,24,31,False,False
2024020120,2024-10-25,True,NSH,29,34,2,3,31,27,False,False
2024020132,2024-10-26,False,DAL,24,30,2,4,26,22,True,False
2024020144,2024-10-28,False,COL,26,26,5,2,24,21,False,False
2024020167,2024-10-31,False,SJS,29,29,2,3,26,27,False,False
2024020176,2024-11-02,False,LAK,21,40,4,3,37,18,False,False
2024020191,2024-11-03,False,ANA,29,40,4,2,38,25,True,False
2024020206,2024-11-06,True,DET,29,25,1,4,21,28,False,False
2024020216,2024-11-07,False,DAL,26,40,1,3,37,25,True,False
2024020237,2024-11-10,True,MIN,22,33,2,1,32,20,False,False
2024020266,2024-11-14,False,SEA,19,26,1,3,23,18,False,False
2024020283,2024-11-16,False,VAN,29,33,1,4,29,28,False,False
2024020298,2024-11-19,True,ANA,20,24,2,3,21,18,False,False
2024020313,2024-11-21,True,FLA,20,33,3,1,32,17,False,False
2024020318,2024-11-23,False,PHI,21,37,2,3,34,19,False,False
2024020357,2024-11-27,True,DAL,26,27,6,2,25,20,False,False
2024020363,2024-11-29,False,MIN,23,29,2,3,26,21,False,False
2024020390,2024-12-01,True,CBJ,31,36,3,6,30,28,False,False
2024020394,2024-12-02,False,TOR,28,22,1,4,18,27,True,False
2024020407,2024-12-04,True,BOS,22,27,2,4,23,20,False,False
2024020427,2024-12-07,True,WPG,14,29,2,4,25,12,False,True
2024020444,2024-12-09,False,NYR,32,30,2,1,29,30,False,False
2024020464,2024-12-12,False,NYI,30,21,4,5,16,26,False,False
2024020474,2024-12-14,False,NJD,17,24,1,4,20,16,False,False
2024020489,2024-12-15,True,NYI,23,33,5,3,30,18,True,False
2024020503,2024-12-17,True,WSH,23,22,3,2,20,20,False,False
2024020516,2024-12-19,True,SEA,24,27,3,1,26,21,False,False
2024020529,2024-12-21,False,CGY,28,30,4,6,24,24,False,False
2024020554,2024-12-23,False,MIN,31,27,3,4,23,28,False,False
2024020558,2024-12-27,False,BUF,17,35,2,6,29,15,False,True
2024020577,2024-12-29,True,DAL,25,35,1,5,30,24,False,False
2024020592,2024-12-31,True,STL,30,28,2,6,22,28,False,False
2024020616,2025-01-03,True,MTL,26,40,4,2,38,22,False,False
2024020632,2025-01-05,True,NYR,27,34,2,6,28,25,False,False
2024020651,2025-01-08,True,COL,20,36,3,1,35,17,False,False
2024020664,2025-01-10,False,DET,15,28,3,5,23,12,False,False
2024020676,2025-01-11,True,EDM,22,34,3,4,30,19,True,False
2024020690,2025-01-13,True,CGY,25,36,2,5,31,23,False,False
2024020714,2025-01-16,False,NSH,26,41,2,3,39,24,False,False
2024020732,2025-01-18,True,VGK,23,35,5,3,32,18,False,False
2024020746,2025-01-20,True,CAR,25,48,3,4,44,22,False,False
2024020773,2025-01-24,True,TBL,14,40,3,4,36,11,False,False
2024020792,2025-01-26,True,MIN,20,28,2,4,24,18,False,False
2024020801,2025-01-28,False,TBL,21,35,4,1,34,17,False,False
2024020817,2025-01-30,False,CAR,20,27,2,3,24,18,False,False
2024020826,2025-02-01,False,FLA,25,44,1,5,39,24,False,False
2024020860,2025-02-05,True,EDM,32,38,3,4,34,29,False,False
2024020873,2025-02-07,True,NSH,30,33,6,2,31,24,False,False
2024020883,2025-02-08,False,STL,21,40,5,6,35,16,True,False
