gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020010,2024-10-09,False,VGK,32,21,4,8,13,28,False,False
2024020034,2024-10-12,True,CBJ,30,23,4,6,17,26,False,True
2024020047,2024-10-14,True,NYI,34,37,2,6,31,32,False,False
2024020059,2024-10-16,True,BOS,25,26,3,5,21,22,False,False
2024020074,2024-10-18,True,ANA,49,19,4,3,16,45,False,False
2024020089,2024-10-20,False,SJS,22,26,4,1,25,18,False,False
2024020106,2024-10-22,False,SEA,28,27,3,2,25,25,False,False
2024020115,2024-10-24,False,UTA,26,26,5,1,25,21,False,False
2024020139,2024-10-27,True,OTT,32,30,5,4,26,27,False,False
2024020144,2024-10-28,True,CHI,26,26,2,5,21,24,True,False
2024020157,2024-10-30,True,TBL,35,21,2,5,16,33,False,False
2024020182,2024-11-02,False,NSH,31,26,2,5,21,29,False,False
2024020202,2024-11-05,True,SEA,32,20,6,3,17,26,False,False
2024020217,2024-11-07,False,WPG,35,28,0,1,27,35,False,False
2024020233,2024-11-09,True,CAR,29,31,6,4,27,23,False,False
2024020243,2024-11-11,True,NSH,32,30,3,2,28,29,False,False
2024020255,2024-11-13,True,LAK,26,15,4,2,13,22,False,False
2024020268,2024-11-15,True,WSH,19,20,2,5,15,17,False,True
2024020289,2024-11-18,False,PHI,29,26,3,2,24,26,False,False
2024020310,2024-11-21,False,WSH,27,29,2,1,28,25,False,False
2024020321,2024-11-23,False,FLA,25,31,7,4,27,18,False,False
2024020334,2024-11-25,False,TBL,25,33,2,8,25,23,False,True
2024020358,2024-11-27,True,VGK,34,19,2,1,18,33,False,False
2024020373,2024-11-29,False,DAL,32,24,3,5,19,29,False,False
2024020385,2024-11-30,True,EDM,28,32,1,4,28,27,True,False
2024020397,2024-12-03,False,BUF,41,30,5,4,26,36,False,True
2024020415,2024-12-05,False,CAR,19,35,3,5,30,16,False,False
2024020432,2024-12-07,False,DET,25,30,2,1,29,23,False,False
2024020440,2024-12-08,False,NJD,24,25,4,0,25,20,True,False
2024020447,2024-12-10,False,PIT,27,27,6,2,25,21,False,False
2024020469,2024-12-12,True,UTA,24,23,1,4,19,23,False,False
2024020484,2024-12-14,True,NSH,33,39,5,2,37,28,False,False
2024020496,2024-12-16,False,VAN,31,25,1,3,22,30,False,False
2024020520,2024-12-19,False,SJS,31,34,4,2,32,27,False,False
2024020527,2024-12-20,False,ANA,23,32,4,2,30,19,True,False
2024020543,2024-12-22,True,SEA,29,19,5,2,17,24,False,False
2024020564,2024-12-27,False,UTA,37,35,4,1,34,33,False,False
2024020597,2024-12-31,True,WPG,38,22,5,2,20,33,False,False
2024020610,2025-01-02,True,BUF,29,21,6,5,16,23,False,False
2024020626,2025-01-04,True,MTL,23,23,1,2,22,22,False,False
2024020639,2025-01-06,True,FLA,34,27,3,1,26,31,False,False
2024020651,2025-01-08,False,CHI,36,20,1,3,17,35,False,False
2024020662,2025-01-09,False,MIN,27,25,6,1,24,21,True,False
2024020678,2025-01-11,False,WPG,22,29,0,3,26,22,False,False
2024020703,2025-01-14,True,NYR,26,29,3,2,27,23,False,False
2024020718,2025-01-16,True,EDM,25,28,3,4,24,22,False,False
2024020724,2025-01-18,True,DAL,36,29,6,3,26,30,False,False
2024020741,2025-01-20,True,MIN,27,26,1,3,23,26,False,False
2024020759,2025-01-22,True,WPG,27,25,2,3,22,25,False,False
2024020776,2025-01-25,False,BOS,28,15,1,3,12,27,False,False
2024020789,2025-01-26,False,NYR,22,37,5,4,33,17,True,False
2024020803,2025-01-28,False,NYI,32,28,2,5,23,30,False,False
2024020824,2025-01-31,True,STL,36,19,5,0,19,31,False,False
2024020836,2025-02-02,True,PHI,32,24,2,0,24,30,False,False
2024020855,2025-02-04,False,VAN,25,31,0,3,28,25,False,False
2024020868,2025-02-06,False,CGY,34,29,4,2,27,30,False,False
2024020874,2025-02-07,False,EDM,31,27,5,4,23,26,True,False
