gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020014,2024-10-10,True,PIT,32,28,3,6,22,29,False,True
2024020028,2024-10-12,True,NSH,22,42,3,0,42,19,False,False
2024020045,2024-10-14,False,NYR,32,28,1,4,24,31,False,False
2024020063,2024-10-17,True,NYR,31,34,2,5,29,29,False,True
2024020076,2024-10-19,False,NSH,24,39,5,2,37,19,False,False
2024020098,2024-10-22,False,NYI,11,30,1,0,30,10,False,False
2024020111,2024-10-24,True,NJD,20,40,5,3,37,15,False,False
2024020122,2024-10-26,False,BUF,25,39,3,5,34,22,False,False
2024020136,2024-10-27,True,EDM,26,34,2,3,31,24,True,False
2024020156,2024-10-30,True,WPG,21,29,2,6,23,19,False,False
2024020179,2024-11-02,True,BUF,23,32,2,1,31,21,False,False
2024020206,2024-11-06,False,CHI,25,29,4,1,28,21,False,False
2024020220,2024-11-08,False,TOR,22,20,1,3,17,21,False,False
2024020228,2024-11-09,True,NYR,37,24,0,4,20,37,True,False
2024020252,2024-11-13,False,PIT,31,33,3,2,31,28,False,False
2024020271,2024-11-15,False,ANA,25,29,4,6,23,21,False,False
2024020282,2024-11-16,False,LAK,18,41,1,4,37,17,True,False
2024020293,2024-11-18,False,SJS,20,34,4,5,29,17,False,False
2024020308,2024-11-21,True,NYI,31,23,2,1,22,29,False,False
2024020324,2024-11-23,True,BOS,20,29,1,2,27,19,False,False
2024020341,2024-11-25,False,NYI,21,29,4,2,27,17,False,False
2024020350,2024-11-27,True,CGY,27,25,2,1,24,25,False,False
2024020365,2024-11-29,True,NJD,28,29,4,5,24,24,False,False
2024020388,2024-12-01,True,VAN,31,32,4,5,27,27,False,True
2024020396,2024-12-03,False,BOS,25,35,2,3,32,23,False,False
2024020412,2024-12-05,False,OTT,20,32,1,2,30,19,False,False
2024020432,2024-12-07,True,COL,30,25,1,2,23,29,False,False
2024020443,2024-12-09,False,BUF,31,21,6,5,16,26,False,True
2024020462,2024-12-12,False,PHI,26,36,1,4,32,25,False,False
2024020479,2024-12-14,True,TOR,26,25,4,2,23,22,False,False
2024020507,2024-12-18,True,PHI,24,19,6,4,15,18,False,False
2024020522,2024-12-20,True,MTL,28,33,3,4,29,25,False,False
2024020533,2024-12-21,False,MTL,21,24,1,5,19,20,True,False
2024020548,2024-12-23,True,STL,19,21,0,4,17,19,False,False
2024020559,2024-12-27,True,TOR,25,23,2,5,18,23,False,False
2024020579,2024-12-29,True,WSH,27,27,4,2,25,23,False,False
2024020593,2024-12-31,True,PIT,25,25,4,2,23,21,False,False
2024020606,2025-01-02,False,CBJ,26,25,5,4,21,21,False,False
2024020621,2025-01-04,False,WPG,29,23,4,2,21,25,False,False
2024020642,2025-01-07,True,OTT,33,33,3,2,31,30,False,True
2024020664,2025-01-10,True,CHI,28,15,5,3,12,23,False,False
2024020684,2025-01-12,True,SEA,23,33,6,2,31,17,False,False
2024020694,2025-01-14,True,SJS,28,24,3,6,18,25,False,False
2024020710,2025-01-16,False,FLA,20,43,5,2,41,15,False,False
2024020727,2025-01-18,False,TBL,39,22,1,5,17,38,False,True
2024020739,2025-01-19,False,DAL,34,25,1,4,21,33,True,False
2024020751,2025-01-21,False,PHI,28,26,1,2,24,27,False,False
2024020762,2025-01-23,True,MTL,45,29,4,2,27,41,False,False
2024020781,2025-01-25,True,TBL,32,28,2,0,28,30,False,False
2024020794,2025-01-27,True,LAK,28,25,5,2,24,23,False,False
2024020819,2025-01-30,False,EDM,35,47,3,2,45,33,False,False
2024020834,2025-02-01,False,CGY,25,34,3,1,33,22,False,False
2024020842,2025-02-02,False,VAN,18,27,3,2,25,15,True,False
2024020857,2025-02-04,False,SEA,40,27,5,4,23,36,False,False
2024020877,2025-02-08,True,TBL,37,18,3,6,12,34,False,False
2024020894,2025-02-22,True,MIN,30,39,3,4,35,27,False,False
