gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020006,2024-10-09,True,TOR,27,48,1,0,48,26,False,False
2024020011,2024-10-10,False,BOS,24,29,4,6,23,20,True,False
2024020027,2024-10-12,True,OTT,26,25,4,1,24,22,False,False
2024020046,2024-10-14,True,PIT,28,30,3,6,24,25,False,False
2024020061,2024-10-17,True,LAK,27,32,1,4,28,26,False,False
2024020081,2024-10-19,False,NYI,24,36,3,4,33,21,False,False
2024020096,2024-10-22,True,NYR,23,45,2,7,38,21,False,True
2024020126,2024-10-26,True,STL,26,31,5,2,29,21,False,False
2024020138,2024-10-27,False,PHI,24,26,4,3,23,20,True,False
2024020149,2024-10-29,True,SEA,30,23,2,8,15,28,False,True
2024020164,2024-10-31,False,WSH,15,34,3,6,28,12,False,False
2024020180,2024-11-02,False,PIT,26,24,1,3,21,25,False,False
2024020196,2024-11-05,True,CGY,24,35,2,3,32,22,False,False
2024020212,2024-11-07,False,NJD,24,27,3,5,22,21,False,False
2024020227,2024-11-09,False,TOR,21,27,1,4,23,20,False,False
2024020239,2024-11-11,False,BUF,23,18,7,5,13,16,False,True
2024020263,2024-11-14,False,MIN,19,28,0,3,25,19,False,False
2024020275,2024-11-16,True,CBJ,30,26,5,1,25,25,False,False
2024020290,2024-11-18,True,EDM,25,30,3,0,30,22,False,False
2024020322,2024-11-23,True,VGK,17,28,2,6,22,15,False,False
2024020346,2024-11-26,True,UTA,13,29,2,3,26,11,False,False
2024020355,2024-11-27,False,CBJ,23,24,4,3,21,19,True,False
2024020376,2024-11-30,False,NYR,28,28,3,4,24,25,False,False
2024020389,2024-12-01,False,BOS,28,30,3,6,24,25,True,False
2024020398,2024-12-03,True,NYI,27,31,2,1,30,25,False,False
2024020411,2024-12-05,True,NSH,30,29,3,0,29,27,False,False
2024020430,2024-12-07,True,WSH,24,35,2,4,31,22,False,False
2024020445,2024-12-09,True,ANA,21,29,3,2,27,19,False,False
2024020460,2024-12-12,True,PIT,23,33,2,9,24,21,False,True
2024020482,2024-12-14,False,WPG,28,27,2,4,23,26,False,False
2024020497,2024-12-17,True,BUF,27,21,6,1,20,21,False,False
2024020522,2024-12-20,False,DET,33,28,4,3,25,29,False,False
2024020533,2024-12-21,True,DET,24,21,5,1,20,19,True,False
2024020551,2024-12-23,False,CBJ,31,32,4,5,27,27,False,False
2024020566,2024-12-28,False,FLA,25,34,4,0,34,21,False,False
2024020580,2024-12-29,False,TBL,37,23,5,2,21,32,True,False
2024020591,2024-12-31,False,VGK,22,29,3,2,27,19,False,False
2024020616,2025-01-03,False,CHI,40,26,2,4,22,38,False,False
2024020626,2025-01-04,False,COL,23,23,2,1,22,22,True,False
2024020638,2025-01-06,True,VAN,24,20,5,4,16,19,False,False
2024020665,2025-01-10,False,WSH,30,17,3,2,15,27,False,False
2024020673,2025-01-11,True,DAL,31,36,1,2,35,30,True,False
2024020704,2025-01-14,False,UTA,27,25,5,3,22,22,False,False
2024020715,2025-01-16,False,DAL,24,33,3,1,32,21,False,False
2024020726,2025-01-18,True,TOR,35,34,3,7,27,32,False,False
2024020738,2025-01-19,True,NYR,37,28,5,4,24,32,True,False
2024020749,2025-01-21,True,TBL,22,35,3,2,33,19,False,False
2024020762,2025-01-23,False,DET,29,45,2,4,41,27,False,False
2024020779,2025-01-25,True,NJD,32,44,3,4,40,29,False,False
2024020800,2025-01-28,True,WPG,25,24,1,4,20,24,False,False
2024020813,2025-01-30,True,MIN,19,27,0,4,23,19,False,False
2024020837,2025-02-02,False,ANA,23,22,2,3,19,21,False,False
2024020858,2025-02-04,False,SJS,20,30,4,3,27,16,False,False
2024020861,2025-02-05,False,LAK,21,37,3,6,31,18,True,False
2024020876,2025-02-08,True,NJD,34,22,0,4,18,34,False,False
2024020891,2025-02-09,True,TBL,35,21,3,5,16,32,True,True
2024020901,2025-02-22,False,OTT,25,27,5,2,25,20,False,False
2024020920,2025-02-25,True,CAR,18,20,4,0,20,14,False,False
