gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020017,2024-10-10,True,DAL,36,20,3,4,16,33,False,False,74,44,57,29
2024020028,2024-10-12,False,DET,42,22,0,3,19,42,False,False,70,65,55,33
2024020053,2024-10-15,True,SEA,33,35,3,7,28,30,False,False,55,63,44,44
2024020069,2024-10-17,True,EDM,27,36,2,4,32,25,False,False,53,71,38,51
2024020076,2024-10-19,True,DET,39,24,2,5,19,37,False,False,74,51,59,35
2024020101,2024-10-22,True,BOS,42,33,4,0,33,38,False,False,67,63,56,43
2024020120,2024-10-25,False,CHI,34,29,3,2,27,31,False,False,64,61,48,45
2024020131,2024-10-26,True,CBJ,33,28,4,3,25,29,True,False,67,55,51,39
2024020141,2024-10-28,False,TBL,37,27,2,3,24,35,False,False,67,57,46,43
2024020166,2024-10-31,True,EDM,27,29,1,5,24,26,False,False,49,62,37,41
2024020182,2024-11-02,True,COL,26,31,5,2,29,21,False,False,66,57,40,41
2024020192,2024-11-04,True,LAK,16,27,0,3,24,16,False,False,41,53,25,41
2024020205,2024-11-06,False,WSH,35,36,2,3,33,33,False,False,78,71,58,51
2024020211,2024-11-07,False,FLA,18,34,2,6,28,16,True,False,51,64,36,52
2024020232,2024-11-09,True,UTA,21,27,4,0,27,17,False,False,44,56,32,44
2024020243,2024-11-11,False,COL,30,32,2,3,29,28,False,False,63,67,41,46
2024020264,2024-11-14,False,EDM,22,34,2,3,31,20,False,False,35,58,28,46
2024020269,2024-11-15,False,CGY,29,33,0,2,31,29,True,False,64,74,46,52
2024020285,2024-11-17,False,VAN,22,27,5,3,24,17,False,False,60,54,39,40
2024020304,2024-11-20,False,SEA,24,37,0,3,34,24,False,False,65,76,49,47
2024020329,2024-11-23,True,WPG,36,24,4,1,23,32,False,False,58,52,48,35
2024020336,2024-11-25,False,NJD,22,46,2,5,41,20,False,True,45,80,34,60
2024020356,2024-11-27,True,PHI,27,23,2,3,20,25,False,False,64,66,53,33
2024020369,2024-11-29,True,TBL,31,28,2,3,25,29,False,False,69,59,45,45
2024020384,2024-11-30,False,MIN,27,28,2,3,25,25,True,False,56,67,45,45
2024020406,2024-12-04,False,TOR,24,28,2,3,25,22,False,False,57,56,42,36
2024020411,2024-12-05,False,MTL,29,30,0,3,27,29,True,False,60,65,46,40
2024020431,2024-12-07,False,OTT,37,30,1,3,27,36,False,False,78,58,53,42
2024020451,2024-12-10,True,CGY,20,28,3,4,24,17,False,False,43,67,28,45
2024020466,2024-12-12,False,DAL,26,36,4,1,35,22,False,False,57,55,38,46
2024020484,2024-12-14,False,COL,39,33,2,5,28,37,False,False,62,60,49,43
2024020502,2024-12-17,True,NYR,32,25,2,0,25,30,False,False,72,57,43,41
2024020515,2024-12-19,True,PIT,26,20,4,5,15,22,False,False,56,45,43,29
2024020528,2024-12-21,True,LAK,26,24,3,2,22,23,False,False,45,47,35,38
2024020553,2024-12-23,True,CAR,25,27,5,2,25,20,False,False,54,49,35,38
2024020562,2024-12-27,False,STL,30,30,4,7,23,26,False,True,48,61,40,42
2024020587,2024-12-30,False,WPG,22,28,0,3,25,22,False,False,55,65,39,43
2024020596,2024-12-31,False,MIN,46,38,3,5,33,43,True,False,71,67,59,52
2024020619,2025-01-03,False,VAN,19,27,3,0,27,16,False,False,56,56,36,42
2024020627,2025-01-04,False,CGY,28,32,4,1,31,24,True,False,67,58,36,51
2024020647,2025-01-07,False,WPG,28,30,2,5,26,26,False,False,59,70,51,44
2024020679,2025-01-11,True,WSH,33,16,1,4,12,32,False,False,64,57,48,29
2024020701,2025-01-14,True,VGK,23,22,5,3,19,18,False,False,50,54,36,34
2024020714,2025-01-16,True,CHI,41,26,3,2,24,39,False,False,70,53,55,34
2024020733,2025-01-18,True,MIN,38,29,6,2,27,32,False,False,64,59,56,43
2024020752,2025-01-21,True,SJS,41,24,7,5,19,34,False,True,69,48,54,37
2024020771,2025-01-23,False,SJS,38,35,6,5,30,32,False,False,70,59,54,45
2024020787,2025-01-25,False,ANA,43,35,2,5,30,41,False,False,74,80,60,54
2024020810,2025-01-29,True,VAN,32,22,1,3,19,31,False,False,55,43,44,32
2024020822,2025-01-31,False,BUF,31,27,3,4,23,28,False,False,54,54,43,37
2024020830,2025-02-01,False,PIT,25,36,0,3,33,25,True,False,59,68,43,54
2024020844,2025-02-03,True,OTT,27,39,2,5,34,25,False,False,44,68,36,52
2024020873,2025-02-07,False,CHI,33,30,2,6,24,31,False,False,63,54,50,39
2024020885,2025-02-08,True,BUF,23,29,6,4,25,17,True,False,59,65,33,50
2024020898,2025-02-22,True,COL,17,32,2,1,31,15,False,False,52,56,30,45
2024020911,2025-02-23,True,NJD,29,36,0,5,31,29,True,False,65,71,53,46
2024020927,2025-02-25,True,FLA,18,25,1,4,21,17,False,False,53,52,30,42
2024020941,2025-02-27,True,WPG,31,23,2,1,22,29,False,False,61,56,43,46
