gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020016,2024-10-10,True,UTA,27,26,4,5,21,23,False,False,64,58,41,38
2024020032,2024-10-12,False,DAL,34,27,0,3,24,34,False,False,67,48,52,34
2024020047,2024-10-14,False,COL,37,34,6,2,32,31,False,False,65,65,44,49
2024020068,2024-10-17,False,STL,34,30,0,1,29,34,False,False,67,48,43,35
2024020081,2024-10-19,True,MTL,36,24,4,3,21,33,False,False,65,73,55,47
2024020098,2024-10-22,True,DET,30,11,0,1,10,30,False,False,60,34,50,18
2024020119,2024-10-25,False,NJD,30,36,4,3,33,26,False,False,60,65,42,52
2024020130,2024-10-26,True,FLA,28,29,3,6,23,25,True,False,59,60,48,47
2024020152,2024-10-29,True,ANA,41,22,1,3,19,40,False,False,80,61,64,33
2024020155,2024-10-30,False,CBJ,26,26,0,2,24,26,True,False,67,60,52,40
2024020169,2024-11-01,False,BUF,36,35,4,3,32,32,False,False,70,59,47,50
2024020185,2024-11-03,False,NYR,37,40,2,5,35,35,False,False,60,64,50,45
2024020198,2024-11-05,True,PIT,26,35,4,3,32,23,False,False,59,64,45,54
2024020209,2024-11-07,False,OTT,25,30,4,2,28,21,False,False,52,62,30,43
2024020231,2024-11-09,True,NJD,22,33,3,4,29,19,False,False,50,60,37,48
2024020249,2024-11-12,False,EDM,22,42,3,4,38,19,False,False,50,78,31,60
2024020265,2024-11-14,False,VAN,32,26,5,2,24,27,False,False,59,55,42,39
2024020273,2024-11-16,False,SEA,24,27,2,3,24,22,False,False,63,54,46,46
2024020299,2024-11-19,False,CGY,29,31,1,2,30,28,False,False,64,60,39,46
2024020308,2024-11-21,False,DET,23,31,1,2,29,22,False,False,54,60,35,46
2024020330,2024-11-23,True,STL,31,25,3,1,24,28,False,False,66,43,44,33
2024020341,2024-11-25,True,DET,29,21,2,4,17,27,False,False,59,51,45,40
2024020353,2024-11-27,True,BOS,24,21,3,6,15,21,False,False,52,52,39,36
2024020366,2024-11-29,False,WSH,24,26,4,5,21,20,False,False,52,54,32,40
2024020383,2024-11-30,True,BUF,20,29,3,0,29,17,True,False,48,61,31,48
2024020398,2024-12-03,False,MTL,31,27,1,2,25,30,False,False,49,61,38,42
2024020416,2024-12-05,True,SEA,29,25,2,5,20,27,False,True,58,66,43,45
2024020428,2024-12-07,True,CAR,25,31,4,3,28,21,False,False,72,59,39,50
2024020438,2024-12-08,False,OTT,13,31,4,2,29,9,True,False,47,56,26,45
2024020450,2024-12-10,True,LAK,20,30,1,3,27,19,False,False,44,62,34,49
2024020464,2024-12-12,True,CHI,21,30,5,4,26,16,False,False,54,58,35,42
2024020489,2024-12-15,False,CHI,33,23,3,5,18,30,False,False,62,41,51,31
2024020500,2024-12-17,False,CAR,32,29,0,4,25,32,False,True,62,63,44,47
2024020532,2024-12-21,False,TOR,34,29,6,3,26,28,False,False,67,57,53,40
2024020552,2024-12-23,True,BUF,28,25,1,7,18,27,False,False,58,66,48,36
2024020575,2024-12-28,True,PIT,34,25,6,3,22,29,False,False,60,53,49,37
2024020581,2024-12-29,False,PIT,31,41,2,3,38,29,True,False,60,77,45,55
2024020590,2024-12-31,False,TOR,31,25,1,3,22,30,False,False,63,52,45,37
2024020607,2025-01-02,True,TOR,33,31,1,2,29,32,False,False,68,66,52,49
2024020633,2025-01-05,False,BOS,37,30,5,4,26,32,False,False,81,58,59,34
2024020663,2025-01-09,False,VGK,21,30,4,0,30,17,False,False,60,60,36,51
2024020680,2025-01-11,False,UTA,32,22,2,1,21,30,False,False,66,58,40,34
2024020699,2025-01-14,True,OTT,24,27,0,2,25,24,False,False,53,65,37,39
2024020712,2025-01-16,True,PHI,29,24,3,5,19,26,False,False,59,64,45,40
2024020731,2025-01-18,True,SJS,31,19,4,1,18,27,False,False,79,51,53,32
2024020745,2025-01-20,True,CBJ,25,26,3,1,25,22,False,False,57,63,39,37
2024020772,2025-01-24,True,PHI,27,30,3,1,29,24,False,False,65,58,44,45
2024020785,2025-01-25,True,CAR,27,27,3,2,25,24,True,False,54,70,39,52
2024020803,2025-01-28,True,COL,28,32,5,2,30,23,False,False,67,72,40,55
2024020816,2025-01-30,False,PHI,28,23,3,0,23,25,False,False,63,51,38,39
2024020829,2025-02-01,False,TBL,36,31,3,2,29,33,False,False,66,64,45,50
2024020838,2025-02-02,False,FLA,34,33,3,6,27,31,True,False,69,61,53,47
2024020850,2025-02-04,True,VGK,14,34,2,1,33,12,False,False,38,63,27,48
2024020872,2025-02-07,False,WPG,35,27,3,4,23,32,False,False,71,55,54,37
2024020886,2025-02-08,False,MIN,35,33,3,6,28,32,True,False,75,62,53,49
2024020913,2025-02-23,True,DAL,37,29,3,4,25,34,False,False,72,66,55,52
2024020925,2025-02-25,True,NYR,37,18,1,5,13,36,False,True,75,53,62,34
2024020933,2025-02-27,False,BOS,20,39,2,1,38,18,False,False,65,86,38,65
