gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020007,2024-10-09,False,PIT,40,31,6,0,31,34,False,False
2024020030,2024-10-12,True,UTA,34,26,5,6,20,29,False,False
2024020045,2024-10-14,True,DET,28,32,4,1,31,24,False,False
2024020063,2024-10-17,False,DET,34,31,5,2,29,29,False,False
2024020079,2024-10-19,False,TOR,29,35,4,1,34,25,False,False
2024020096,2024-10-22,False,MTL,45,23,7,2,21,38,False,False
2024020113,2024-10-24,True,FLA,25,29,1,3,26,24,False,False
2024020128,2024-10-26,True,ANA,32,33,2,1,32,30,False,False
2024020151,2024-10-29,False,WSH,19,46,3,5,41,16,False,False
2024020170,2024-11-01,True,OTT,18,41,2,1,40,16,False,False
2024020185,2024-11-03,True,NYI,40,37,5,2,35,35,False,False
2024020213,2024-11-07,True,BUF,26,22,1,6,16,25,False,True
2024020228,2024-11-09,False,DET,24,37,4,0,37,20,False,False
2024020247,2024-11-12,True,WPG,36,33,3,6,27,33,False,False
2024020261,2024-11-14,True,SJS,35,27,3,2,25,32,False,False
2024020287,2024-11-17,False,SEA,23,24,2,0,24,21,False,False
2024020300,2024-11-19,False,VAN,33,24,4,3,21,29,False,False
2024020314,2024-11-21,False,CGY,29,49,2,3,46,27,False,False
2024020332,2024-11-23,False,EDM,34,40,2,6,34,32,False,False
2024020337,2024-11-25,True,STL,29,44,2,5,39,27,False,False
2024020349,2024-11-27,False,CAR,22,31,3,4,27,19,False,False
2024020362,2024-11-29,False,PHI,23,35,1,3,32,22,False,False
2024020376,2024-11-30,True,MTL,28,28,4,3,25,24,True,False
2024020393,2024-12-02,True,NJD,39,28,1,5,23,38,False,False
2024020421,2024-12-06,True,PIT,32,22,4,2,20,28,False,False
2024020436,2024-12-08,True,SEA,37,22,5,7,15,32,False,False
2024020444,2024-12-09,True,CHI,30,32,1,2,30,29,True,False
2024020457,2024-12-11,False,BUF,28,31,3,2,29,25,False,False
2024020475,2024-12-14,True,LAK,32,32,1,5,27,31,False,True
2024020492,2024-12-15,False,STL,28,24,2,3,21,26,True,False
2024020502,2024-12-17,False,NSH,25,32,0,2,30,25,False,False
2024020525,2024-12-20,False,DAL,30,42,3,1,41,27,False,False
2024020539,2024-12-22,True,CAR,23,33,1,3,30,22,False,False
2024020545,2024-12-23,False,NJD,12,30,0,5,25,12,True,False
2024020572,2024-12-28,False,TBL,44,25,2,6,19,42,False,True
2024020586,2024-12-30,False,FLA,35,26,3,5,21,32,False,False
2024020604,2025-01-02,True,BOS,27,33,2,1,32,25,False,False
2024020620,2025-01-04,False,WSH,33,28,4,7,21,29,False,False
2024020632,2025-01-05,False,CHI,34,27,6,2,25,28,True,False
2024020643,2025-01-07,True,DAL,26,39,4,5,34,22,False,False
2024020656,2025-01-09,True,NJD,32,23,3,2,21,29,False,False
2024020682,2025-01-11,False,VGK,26,30,2,1,29,24,False,False
2024020703,2025-01-14,False,COL,29,26,2,3,23,27,False,False
2024020717,2025-01-16,False,UTA,25,31,5,3,28,20,False,False
2024020728,2025-01-18,True,CBJ,26,27,1,0,27,26,False,False
2024020738,2025-01-19,False,MTL,28,37,4,5,32,24,True,False
2024020750,2025-01-21,True,OTT,29,20,5,0,20,24,False,False
2024020763,2025-01-23,True,PHI,37,34,6,1,33,31,False,False
2024020789,2025-01-26,True,COL,37,22,4,5,17,33,False,False
2024020802,2025-01-28,True,CAR,22,26,0,4,22,22,False,False
2024020827,2025-02-01,False,BOS,25,25,3,6,19,22,False,False
2024020839,2025-02-02,True,VGK,28,36,4,2,34,24,True,False
2024020859,2025-02-05,True,BOS,22,17,3,2,15,19,False,False
2024020871,2025-02-07,True,PIT,24,26,2,3,23,22,False,False
2024020882,2025-02-08,False,CBJ,40,25,4,3,22,36,True,False
2024020895,2025-02-22,False,BUF,28,33,2,8,25,26,False,True
