gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020013,2024-10-10,True,FLA,31,32,3,1,31,28,False,False
2024020027,2024-10-12,False,MTL,25,26,1,4,22,24,False,False
2024020043,2024-10-14,True,LAK,41,26,8,7,19,33,False,True
2024020062,2024-10-17,True,NJD,31,35,1,3,32,30,False,False
2024020075,2024-10-19,True,TBL,28,29,5,4,25,23,False,False
2024020104,2024-10-22,False,UTA,22,31,4,0,31,18,False,False
2024020118,2024-10-25,False,VGK,39,28,4,6,22,35,False,False
2024020139,2024-10-27,False,COL,30,32,4,5,27,26,False,False
2024020150,2024-10-29,True,STL,35,27,8,1,26,27,False,False
2024020170,2024-11-01,False,NYR,41,18,1,2,16,40,False,False
2024020178,2024-11-02,True,SEA,23,22,3,0,22,20,True,False
2024020194,2024-11-05,False,BUF,38,34,1,5,29,37,False,False
2024020209,2024-11-07,True,NYI,30,25,2,4,21,28,False,False
2024020226,2024-11-09,False,BOS,34,16,3,2,14,31,False,False
2024020245,2024-11-12,False,TOR,41,27,3,0,27,38,False,False
2024020258,2024-11-14,True,PHI,37,19,4,5,14,33,False,False
2024020280,2024-11-16,False,CAR,24,28,0,4,24,24,False,False
2024020294,2024-11-19,True,EDM,29,31,2,5,26,27,False,False
2024020307,2024-11-21,True,VGK,40,32,2,3,29,38,False,False
2024020323,2024-11-23,True,VAN,29,21,3,4,17,26,False,False
2024020340,2024-11-25,True,CGY,30,27,4,3,24,26,False,False
2024020361,2024-11-27,False,SJS,11,39,4,3,36,7,False,False
2024020382,2024-11-30,False,LAK,22,27,2,5,22,20,False,False
2024020392,2024-12-01,False,ANA,31,34,3,4,31,28,True,False
2024020412,2024-12-05,True,DET,32,20,2,1,19,30,False,False
2024020431,2024-12-07,True,NSH,30,37,3,1,36,27,False,False
2024020438,2024-12-08,True,NYI,31,13,2,4,9,29,True,False
2024020458,2024-12-11,True,ANA,34,32,5,1,31,29,False,False
2024020473,2024-12-13,False,CAR,22,32,3,0,32,19,False,False
2024020478,2024-12-14,True,PIT,31,27,3,2,25,28,True,False
2024020505,2024-12-17,False,SEA,27,30,3,0,30,24,False,False
2024020517,2024-12-19,False,CGY,29,32,3,2,30,26,False,False
2024020537,2024-12-21,False,VAN,22,25,5,4,21,17,False,False
2024020544,2024-12-22,False,EDM,21,21,1,3,18,20,True,True
2024020574,2024-12-28,False,WPG,35,23,2,4,19,33,False,False
2024020583,2024-12-29,False,MIN,37,31,3,1,30,34,True,False
2024020608,2025-01-02,False,DAL,13,25,2,4,21,11,False,False
2024020617,2025-01-03,False,STL,20,25,0,4,21,20,True,False
2024020642,2025-01-07,False,DET,33,33,2,3,30,31,False,False
2024020654,2025-01-09,True,BUF,35,21,0,4,17,35,False,False
2024020671,2025-01-11,False,PIT,22,29,5,0,29,17,False,False
2024020685,2025-01-12,True,DAL,27,26,3,2,24,24,True,False
2024020699,2025-01-14,False,NYI,27,24,2,0,24,25,False,False
2024020708,2025-01-16,True,WSH,24,26,0,1,25,24,False,False
2024020723,2025-01-18,True,BOS,44,28,6,5,23,39,False,False
2024020737,2025-01-19,False,NJD,20,26,2,1,25,18,True,False
2024020750,2025-01-21,False,NYR,20,29,0,5,24,20,False,True
2024020761,2025-01-23,False,BOS,29,26,0,2,24,29,False,False
2024020780,2025-01-25,True,TOR,23,29,2,1,28,21,False,False
2024020790,2025-01-26,True,UTA,27,35,3,1,34,24,True,False
2024020814,2025-01-30,True,WSH,34,35,5,4,31,29,False,False
2024020828,2025-02-01,True,MIN,52,16,6,0,16,46,False,False
2024020844,2025-02-03,False,NSH,39,27,5,2,25,34,False,False
2024020847,2025-02-04,False,TBL,28,38,3,4,34,25,True,False
2024020862,2025-02-06,False,TBL,28,31,1,5,26,27,False,False
2024020880,2025-02-08,False,FLA,27,48,1,5,43,26,False,False
2024020901,2025-02-22,True,MTL,27,25,2,5,20,25,False,True
2024020930,2025-02-26,True,WPG,25,39,1,4,36,24,False,False
