gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020022,2024-10-11,False,VAN,31,26,3,2,24,29,False,False
2024020035,2024-10-12,False,CGY,40,32,3,6,26,37,True,False
2024020056,2024-10-15,False,EDM,30,31,3,4,27,27,False,False
2024020071,2024-10-17,False,SEA,25,29,4,6,23,21,False,True
2024020082,2024-10-19,True,VAN,26,32,0,3,29,26,False,False
2024020092,2024-10-22,True,WSH,18,29,1,4,25,17,False,False
2024020108,2024-10-23,False,WSH,29,25,3,6,19,26,True,False
2024020123,2024-10-26,True,MIN,23,26,7,5,21,16,False,False
2024020138,2024-10-27,True,MTL,26,24,3,4,20,23,True,False
2024020148,2024-10-29,False,BOS,19,25,2,0,25,17,False,False
2024020162,2024-10-31,True,STL,21,21,2,1,20,19,False,False
2024020175,2024-11-02,True,BOS,20,31,0,3,28,20,False,True
2024020197,2024-11-05,False,CAR,16,35,4,6,29,12,False,False
2024020210,2024-11-07,False,TBL,31,23,2,1,22,30,False,False
2024020225,2024-11-09,False,FLA,37,31,3,4,28,34,False,False
2024020240,2024-11-11,True,SJS,43,31,4,3,28,40,False,False
2024020258,2024-11-14,False,OTT,19,37,5,4,33,14,False,False
2024020278,2024-11-16,True,BUF,32,25,5,2,23,27,False,False
2024020289,2024-11-18,True,COL,26,29,2,3,26,24,False,False
2024020302,2024-11-20,True,CAR,19,37,1,4,33,18,False,False
2024020318,2024-11-23,True,CHI,37,21,3,2,19,34,False,False
2024020338,2024-11-25,True,VGK,36,30,4,5,26,32,False,False
2024020356,2024-11-27,False,NSH,23,27,3,2,25,20,False,False
2024020362,2024-11-29,True,NYR,35,23,3,1,22,32,False,False
2024020381,2024-11-30,False,STL,31,27,3,2,25,28,True,False
2024020414,2024-12-05,True,FLA,34,28,5,7,21,29,False,True
2024020425,2024-12-07,False,BOS,26,31,3,4,27,23,False,False
2024020441,2024-12-08,True,UTA,24,25,2,4,21,22,True,False
2024020449,2024-12-10,False,CBJ,25,18,5,3,15,20,False,False
2024020462,2024-12-12,True,DET,36,26,4,1,25,32,False,False
2024020476,2024-12-14,False,MIN,22,22,1,4,18,21,False,False
2024020507,2024-12-18,False,DET,19,24,4,6,18,15,False,False
2024020513,2024-12-19,True,LAK,26,27,3,7,20,23,True,False
2024020535,2024-12-21,True,CBJ,30,25,5,4,21,25,False,False
2024020550,2024-12-23,False,PIT,27,22,3,7,15,24,False,True
2024020568,2024-12-28,False,ANA,25,33,3,1,32,22,False,False
2024020585,2024-12-29,False,LAK,21,20,4,5,15,17,True,False
2024020599,2024-12-31,False,SJS,34,22,4,0,22,30,False,True
2024020612,2025-01-02,False,VGK,25,27,2,5,22,23,False,False
2024020635,2025-01-05,False,TOR,32,25,2,3,22,30,False,False
2024020644,2025-01-07,True,TOR,32,17,2,3,14,30,False,False
2024020657,2025-01-09,True,DAL,28,23,1,4,19,27,False,False
2024020675,2025-01-11,True,ANA,30,22,6,0,22,24,False,False
2024020689,2025-01-13,True,FLA,29,23,4,3,20,25,False,False
2024020698,2025-01-14,False,CBJ,25,28,2,3,26,23,True,False
2024020712,2025-01-16,False,NYI,24,29,5,3,26,19,False,False
2024020722,2025-01-18,False,NJD,18,13,3,1,12,15,False,False
2024020751,2025-01-21,True,DET,26,28,2,1,27,24,False,False
2024020763,2025-01-23,False,NYR,34,37,1,6,31,33,False,False
2024020772,2025-01-24,False,NYI,30,27,1,3,24,29,True,False
2024020795,2025-01-27,True,NJD,26,33,4,2,31,22,False,False
2024020809,2025-01-29,False,NJD,24,26,0,5,21,24,False,True
2024020816,2025-01-30,True,NYI,23,28,0,3,25,23,True,False
2024020836,2025-02-02,False,COL,24,32,0,2,30,24,False,False
2024020854,2025-02-04,False,UTA,20,42,2,3,39,18,False,False
2024020864,2025-02-06,True,WSH,22,18,3,4,14,19,False,False
2024020881,2025-02-08,True,PIT,20,33,3,2,31,17,False,False
