gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst
2024020003,2024-10-08,True,STL,32,25,2,3,22,30,False,False,68,60,50,41
2024020033,2024-10-12,False,MIN,34,38,5,4,34,30,False,False,63,59,46,49
2024020039,2024-10-13,False,DAL,25,23,0,2,21,25,True,False,59,53,42,38
2024020053,2024-10-15,False,NSH,35,33,7,3,30,28,False,False,63,55,44,44
2024020071,2024-10-17,True,PHI,29,25,6,4,21,23,False,False,64,62,45,41
2024020087,2024-10-19,True,CGY,23,22,2,1,21,21,False,False,52,66,39,46
2024020106,2024-10-22,True,COL,27,28,2,3,25,25,False,False,67,66,47,43
2024020116,2024-10-24,True,WPG,32,36,3,4,32,29,False,False,63,55,46,38
2024020135,2024-10-26,True,CAR,19,39,1,4,35,18,False,False,51,76,28,70
2024020149,2024-10-29,False,MTL,23,30,8,2,28,15,False,False,47,68,30,52
2024020161,2024-10-31,False,TOR,25,30,1,4,26,24,False,False,59,55,36,40
2024020178,2024-11-02,False,OTT,22,23,0,3,20,22,False,False,56,53,39,37
2024020187,2024-11-03,False,BOS,23,33,0,2,31,23,True,False,54,81,37,53
2024020202,2024-11-05,False,COL,20,32,3,6,26,17,False,False,55,74,32,48
2024020223,2024-11-08,True,VGK,32,24,4,3,21,28,False,False,59,46,43,36
2024020251,2024-11-12,True,CBJ,33,40,5,2,38,28,False,False,62,74,46,59
2024020266,2024-11-14,True,CHI,26,19,3,1,18,23,False,False,62,45,50,29
2024020273,2024-11-16,True,NYI,27,24,3,2,22,24,False,False,54,63,46,46
2024020287,2024-11-17,True,NYR,24,23,0,2,21,24,True,False,57,61,40,39
2024020304,2024-11-20,True,NSH,37,24,3,0,24,34,False,False,76,65,47,49
2024020320,2024-11-23,False,LAK,20,21,1,2,19,19,False,False,44,58,28,36
2024020343,2024-11-25,False,ANA,28,23,3,2,21,25,False,False,63,51,50,33
2024020360,2024-11-27,True,ANA,44,33,2,5,28,42,False,False,85,64,67,48
2024020371,2024-11-29,False,SJS,31,27,5,8,19,26,False,False,67,50,50,37
2024020387,2024-11-30,True,SJS,38,23,2,4,19,36,False,False,76,68,60,44
2024020401,2024-12-03,False,CAR,28,19,4,2,17,24,False,False,64,45,39,30
2024020416,2024-12-05,False,NYI,25,29,5,2,27,20,False,False,66,58,45,43
2024020420,2024-12-06,False,NJD,19,36,2,3,33,17,True,False,62,66,37,52
2024020436,2024-12-08,False,NYR,22,37,7,5,32,15,False,False,57,73,37,58
2024020456,2024-12-10,True,FLA,18,33,1,2,32,17,False,False,51,79,32,64
2024020472,2024-12-12,True,BOS,21,34,5,1,33,16,False,False,58,85,38,65
2024020488,2024-12-14,True,TBL,22,31,1,5,26,21,False,False,49,65,33,48
2024020505,2024-12-17,True,OTT,30,27,0,3,24,30,False,False,71,65,51,47
2024020516,2024-12-19,False,CHI,27,24,1,3,21,26,False,False,53,51,48,41
2024020538,2024-12-21,False,VGK,23,34,2,6,28,21,False,False,58,63,41,48
2024020543,2024-12-22,False,COL,19,29,2,5,24,17,True,False,50,57,30,41
2024020567,2024-12-28,False,VAN,29,22,5,4,18,24,False,False,60,51,46,32
2024020588,2024-12-30,True,UTA,33,30,5,2,28,28,False,False,72,73,49,59
2024020613,2025-01-02,True,VAN,27,22,3,4,19,24,False,False,63,64,46,46
2024020631,2025-01-04,True,EDM,18,32,2,4,28,16,False,False,46,73,27,52
2024020640,2025-01-06,True,NJD,24,29,2,3,26,22,False,False,51,66,38,49
2024020660,2025-01-09,False,CBJ,31,24,2,6,18,29,False,True,67,56,52,30
2024020670,2025-01-11,False,BUF,29,35,6,2,33,23,False,False,59,59,41,56
2024020684,2025-01-12,False,DET,33,23,2,6,17,31,True,False,58,46,42,37
2024020696,2025-01-14,False,PIT,18,33,4,2,31,14,False,False,53,66,34,51
2024020716,2025-01-16,False,WPG,18,36,1,2,34,17,False,False,54,66,30,49
2024020736,2025-01-18,True,LAK,22,30,4,2,28,18,False,False,61,67,37,51
2024020742,2025-01-20,True,BUF,34,29,6,4,25,28,False,False,63,60,52,52
2024020770,2025-01-23,True,WSH,22,32,0,3,30,22,False,False,45,76,37,53
2024020778,2025-01-25,True,PIT,25,29,4,1,28,21,False,False,50,65,33,53
2024020797,2025-01-27,False,EDM,28,31,2,4,27,26,False,False,56,56,40,44
2024020806,2025-01-28,True,ANA,30,23,4,6,17,26,True,False,57,54,45,35
2024020821,2025-01-30,True,SJS,33,28,6,2,26,27,False,False,65,58,46,44
2024020843,2025-02-02,True,CGY,31,35,2,3,32,29,False,False,64,69,51,48
2024020857,2025-02-04,True,DET,27,40,4,5,36,23,False,False,52,81,38,66
2024020869,2025-02-06,True,TOR,27,30,1,3,27,26,False,False,64,64,52,44
2024020887,2025-02-08,False,CGY,28,29,3,2,27,25,False,False,71,57,46,40
2024020896,2025-02-22,False,FLA,22,27,2,1,26,20,False,False,52,57,38,48
2024020909,2025-02-23,False,TBL,37,24,1,4,20,36,True,False,59,55,49,43
2024020926,2025-02-25,False,STL,27,27,2,7,20,25,False,True,48,46,35,34
