gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020019,2024-10-10,True,STL,29,40,4,5,35,25,False,False
2024020037,2024-10-12,True,ANA,30,30,0,2,28,30,False,False
2024020054,2024-10-15,False,DAL,27,38,2,3,36,25,False,False
2024020070,2024-10-17,False,CHI,22,27,2,4,23,20,False,False
2024020073,2024-10-18,False,WPG,22,36,3,8,28,19,True,True
2024020089,2024-10-20,True,COL,26,22,1,4,18,25,False,False
2024020105,2024-10-22,False,ANA,28,40,1,3,37,27,False,False
2024020117,2024-10-24,False,LAK,26,30,2,3,27,24,False,False
2024020134,2024-10-26,False,VGK,26,42,3,7,35,23,False,False
2024020145,2024-10-28,False,UTA,46,23,5,4,19,41,False,False
2024020154,2024-10-29,True,LAK,21,28,4,2,26,17,True,False
2024020167,2024-10-31,True,CHI,29,29,3,2,27,26,False,False
2024020184,2024-11-02,True,VAN,23,28,2,3,25,21,False,False
2024020204,2024-11-05,True,CBJ,27,50,2,1,49,25,False,False
2024020219,2024-11-07,True,MIN,26,31,2,5,26,24,False,False
2024020236,2024-11-10,False,NJD,27,44,1,0,44,26,False,False
2024020240,2024-11-11,False,PHI,31,43,3,4,40,28,True,False
2024020261,2024-11-14,False,NYR,27,35,2,3,32,25,False,False
2024020279,2024-11-16,False,PIT,29,36,3,4,33,26,False,True
2024020293,2024-11-18,True,DET,34,20,5,4,17,29,False,False
2024020303,2024-11-20,False,DAL,23,31,2,5,26,21,False,False
2024020312,2024-11-21,False,STL,24,31,2,3,29,22,True,False
2024020331,2024-11-23,True,BUF,33,31,2,4,27,31,False,False
2024020344,2024-11-25,True,LAK,21,24,7,2,22,14,False,False
2024020361,2024-11-27,True,OTT,39,11,3,4,7,36,False,False
2024020371,2024-11-29,True,SEA,27,31,8,5,26,19,False,False
2024020387,2024-11-30,False,SEA,23,38,4,2,36,19,True,False
2024020400,2024-12-03,False,WSH,31,28,2,1,27,29,False,False
2024020413,2024-12-05,False,TBL,21,35,1,8,27,20,False,True
2024020429,2024-12-07,False,FLA,29,54,1,3,51,28,False,False
2024020448,2024-12-10,False,CAR,23,28,2,3,25,21,False,False
2024020465,2024-12-12,False,STL,31,20,4,3,17,27,False,False
2024020487,2024-12-14,True,UTA,22,40,3,4,36,19,False,False
2024020506,2024-12-17,True,WPG,35,33,3,4,29,32,False,False
2024020520,2024-12-19,True,COL,34,31,2,4,27,32,False,False
2024020530,2024-12-21,False,EDM,22,42,2,3,39,20,False,False
2024020555,2024-12-23,False,VAN,29,24,3,4,20,26,False,False
2024020565,2024-12-27,True,VGK,25,36,3,6,30,22,False,False
2024020576,2024-12-28,True,CGY,22,33,1,3,30,21,True,False
2024020599,2024-12-31,True,PHI,22,34,0,4,30,22,False,False
2024020614,2025-01-02,True,TBL,25,25,2,1,24,23,False,False
2024020622,2025-01-04,True,NJD,24,30,3,2,28,21,False,False
2024020649,2025-01-07,True,VGK,21,42,2,4,38,19,False,False
2024020668,2025-01-10,False,UTA,19,26,1,2,24,18,False,False
2024020683,2025-01-11,True,MIN,37,22,1,3,19,36,True,False
2024020694,2025-01-14,False,DET,24,28,6,3,25,18,False,False
2024020711,2025-01-16,False,CBJ,19,34,1,4,30,18,False,False
2024020731,2025-01-18,False,NYI,19,31,1,4,27,18,False,False
2024020740,2025-01-20,False,BOS,28,33,3,6,27,25,False,False
2024020752,2025-01-21,False,NSH,24,41,5,7,34,19,True,False
2024020771,2025-01-23,True,NSH,35,38,5,6,32,30,False,False
2024020788,2025-01-25,True,FLA,23,32,2,7,25,21,False,True
2024020798,2025-01-27,True,PIT,28,30,2,1,29,26,False,False
2024020821,2025-01-30,False,SEA,28,33,2,6,27,26,False,True
2024020858,2025-02-04,True,MTL,30,20,3,4,16,27,False,False
2024020870,2025-02-06,True,VAN,34,24,1,2,22,33,False,False
2024020889,2025-02-08,True,DAL,27,34,3,8,26,24,False,False
2024020914,2025-02-23,False,CGY,29,36,2,3,33,27,False,False
2024020916,2025-02-24,False,WPG,18,35,1,2,33,17,False,False
2024020934,,False,MTL,0,0,0,0,0,0,False,False
