gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2024020009,2024-10-09,True,CGY,24,26,5,6,20,19,False
2024020022,2024-10-11,True,PHI,26,31,2,3,29,24,False
2024020048,2024-10-15,False,TBL,27,27,1,4,23,26,False
2024020065,2024-10-17,False,FLA,33,28,3,2,26,30,False
2024020082,2024-10-19,False,PHI,32,26,3,0,26,29,False
2024020100,2024-10-22,False,CHI,30,34,6,3,31,24,False
2024020133,2024-10-26,True,PIT,34,24,4,3,21,30,False
2024020146,2024-10-28,True,CAR,27,32,3,4,28,24,False
2024020159,2024-10-30,True,NJD,20,22,0,6,16,20,False
2024020184,2024-11-02,False,SJS,28,23,3,2,21,25,False
2024020203,2024-11-05,False,ANA,37,22,5,1,21,32,False
2024020218,2024-11-07,False,LAK,23,28,4,2,26,20,False
2024020235,2024-11-09,True,EDM,20,31,3,7,24,17,False
2024020250,2024-11-12,True,CGY,32,29,3,1,28,29,False
2024020265,2024-11-14,True,NYI,26,32,2,5,27,24,False
2024020283,2024-11-16,True,CHI,33,29,4,1,28,29,False
2024020285,2024-11-17,True,NSH,27,22,3,5,17,24,True
2024020300,2024-11-19,True,NYR,24,33,3,4,29,21,False
2024020323,2024-11-23,False,OTT,21,29,4,3,26,17,False
2024020345,2024-11-26,False,BOS,15,33,2,0,33,13,False
2024020354,2024-11-27,False,PIT,29,23,4,5,18,25,True
2024020364,2024-11-29,False,BUF,22,34,4,3,31,18,False
2024020388,2024-12-01,False,DET,32,31,5,4,27,27,False
2024020402,2024-12-03,False,MIN,32,29,2,3,26,30,False
2024020422,2024-12-06,True,CBJ,17,32,5,2,30,12,False
2024020437,2024-12-08,True,TBL,25,33,2,4,29,23,False
2024020455,2024-12-10,True,STL,25,25,3,4,21,22,False
2024020471,2024-12-12,True,FLA,19,27,4,0,27,15,False
2024020486,2024-12-14,True,BOS,20,28,1,5,23,19,False
2024020496,2024-12-16,True,COL,25,31,3,1,30,22,False
2024020510,2024-12-18,False,UTA,26,31,2,3,28,24,False
2024020519,2024-12-19,False,VGK,20,21,1,3,18,19,True
2024020537,2024-12-21,True,OTT,25,22,4,5,17,21,False
2024020555,2024-12-23,True,SJS,24,29,4,3,26,20,False
2024020567,2024-12-28,True,SEA,22,29,4,5,24,18,False
2024020600,2024-12-31,False,CGY,24,29,1,3,26,23,False
2024020613,2025-01-02,False,SEA,22,27,4,3,24,19,False
2024020619,2025-01-03,True,NSH,27,19,0,3,16,27,True
2024020638,2025-01-06,False,MTL,20,24,4,5,19,16,False
2024020650,2025-01-08,False,WSH,31,18,1,2,16,30,False
2024020666,2025-01-10,False,CAR,14,20,0,2,18,14,False
2024020672,2025-01-11,False,TOR,18,20,3,0,20,16,True
2024020702,2025-01-14,False,WPG,24,33,1,6,27,23,False
2024020719,2025-01-16,True,LAK,21,21,1,5,16,20,False
2024020735,2025-01-18,True,EDM,27,15,3,2,13,24,False
2024020755,2025-01-21,True,BUF,34,26,2,3,23,32,False
2024020768,2025-01-23,False,EDM,26,34,2,6,28,24,False
2024020786,2025-01-25,True,WSH,25,33,2,1,32,23,False
2024020796,2025-01-27,False,STL,30,26,5,2,24,25,False
2024020810,2025-01-29,False,NSH,22,32,3,1,31,19,False
2024020823,2025-01-31,False,DAL,29,16,3,5,11,26,False
2024020842,2025-02-02,True,DET,27,18,2,3,15,25,False
2024020855,2025-02-04,True,COL,31,25,3,0,25,28,False
2024020870,2025-02-06,False,SJS,24,34,2,1,33,22,False
2024020884,2025-02-08,True,TOR,25,28,2,1,27,23,False
