gameID,gameDate,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,splitGame
2024020008,2024-10-09,False,EDM,20,30,6,0,30,14,False,False
2024020021,2024-10-11,True,CHI,35,26,2,1,25,33,False,False
2024020038,2024-10-13,True,MIN,35,27,2,1,26,33,False,False
2024020073,2024-10-18,True,SJS,36,22,8,3,19,28,False,False
2024020088,2024-10-20,True,PIT,37,42,6,3,39,31,False,False
2024020099,2024-10-22,False,STL,24,29,3,2,27,21,False,False
2024020116,2024-10-24,False,SEA,36,32,4,3,29,32,False,False
2024020129,2024-10-26,False,CGY,35,29,5,3,26,30,False,False
2024020143,2024-10-28,True,TOR,23,36,4,6,30,19,False,False
2024020156,2024-10-30,False,DET,29,21,6,2,19,23,False,False
2024020171,2024-11-01,False,CBJ,44,22,6,2,20,38,False,False
2024020186,2024-11-03,True,TBL,34,30,7,4,26,27,False,False
2024020201,2024-11-05,True,UTA,28,21,3,0,21,25,False,False
2024020217,2024-11-07,True,COL,28,35,1,0,35,27,False,False
2024020230,2024-11-09,True,DAL,25,33,4,1,32,21,False,False
2024020247,2024-11-12,False,NYR,33,36,6,3,33,27,False,False
2024020259,2024-11-14,False,TBL,24,29,1,4,25,23,False,False
2024020277,2024-11-16,False,FLA,27,31,0,5,26,27,False,False
2024020297,2024-11-19,True,FLA,27,23,6,3,20,21,False,False
2024020316,2024-11-22,False,PIT,30,18,4,1,17,26,False,False
2024020329,2024-11-23,False,NSH,24,36,1,4,32,23,True,False
2024020342,2024-11-25,False,MIN,32,44,4,1,43,28,False,False
2024020359,2024-11-27,False,LAK,14,33,1,4,29,13,False,False
2024020374,2024-11-29,False,VGK,25,30,3,4,26,22,False,False
2024020391,2024-12-01,False,DAL,27,31,1,3,28,26,False,False
2024020403,2024-12-03,True,STL,23,32,1,4,28,22,False,False
2024020410,2024-12-05,False,BUF,31,30,3,2,28,28,False,False
2024020427,2024-12-07,False,CHI,29,14,4,2,12,25,False,False
2024020439,2024-12-08,True,CBJ,25,28,1,4,24,24,True,False
2024020452,2024-12-10,True,BOS,35,24,8,1,23,27,False,False
2024020468,2024-12-12,True,VGK,20,36,2,3,33,18,False,False
2024020482,2024-12-14,True,MTL,27,28,4,2,26,23,False,False
2024020506,2024-12-17,False,SJS,33,35,4,3,32,29,False,False
2024020511,2024-12-18,False,ANA,23,31,2,3,28,21,True,False
2024020536,2024-12-21,True,MIN,24,19,5,0,19,19,False,False
2024020546,2024-12-23,False,TOR,27,25,5,2,23,22,False,False
2024020574,2024-12-28,True,OTT,23,35,4,2,33,19,False,False
2024020587,2024-12-30,True,NSH,28,22,3,0,22,25,False,False
2024020597,2024-12-31,False,COL,22,38,2,5,33,20,True,False
2024020609,2025-01-02,True,ANA,30,24,3,4,20,27,False,False
2024020621,2025-01-04,True,DET,23,29,2,4,25,21,False,False
2024020647,2025-01-07,True,NSH,30,28,5,2,26,26,False,False
2024020667,2025-01-10,True,LAK,19,23,1,2,21,18,False,False
2024020678,2025-01-11,True,COL,29,22,3,0,22,26,True,False
2024020702,2025-01-14,True,VAN,33,24,6,1,23,27,False,False
2024020716,2025-01-16,True,SEA,36,18,2,1,17,34,False,False
2024020730,2025-01-18,True,CGY,39,22,1,3,19,38,False,False
2024020747,2025-01-20,False,UTA,25,28,2,5,23,23,False,False
2024020759,2025-01-22,False,COL,25,27,3,2,25,22,False,False
2024020775,2025-01-24,True,UTA,29,19,5,2,17,24,False,False
2024020791,2025-01-26,True,CGY,27,22,5,2,20,22,False,False
2024020800,2025-01-28,False,MTL,24,25,4,1,24,20,False,False
2024020812,2025-01-30,False,BOS,28,28,6,2,26,22,False,False
2024020831,2025-02-01,False,WSH,30,29,5,4,25,25,False,False
2024020852,2025-02-04,True,CAR,30,29,3,0,29,27,False,False
2024020872,2025-02-07,True,NYI,27,35,4,3,32,23,False,False
2024020903,2025-02-22,False,STL,28,24,4,3,21,25,False,False
