gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020004,True,OTT,42,30,5,3,27,37,False
2023020032,False,LAK,19,30,6,5,25,14,False
2023020034,False,ANA,35,25,3,6,19,32,True
2023020047,False,SJS,42,16,6,3,13,36,False
2023020060,False,SEA,36,36,4,7,29,32,False
2023020076,False,COL,27,27,4,6,21,23,False
2023020086,False,TBL,32,23,0,3,20,32,False
2023020101,True,SEA,45,26,3,2,24,42,False
2023020112,True,SJS,40,20,3,0,20,37,True
2023020131,False,PHI,32,28,3,2,26,29,False
2023020148,False,NYR,27,26,1,2,24,26,False
2023020167,False,NYI,46,25,4,3,22,42,False
2023020180,True,BUF,27,21,3,2,19,24,False
2023020205,False,FLA,30,35,2,5,30,28,False
2023020214,False,TBL,32,22,4,0,22,28,True
2023020238,True,PHI,32,24,1,3,21,31,False
2023020259,True,PIT,34,28,4,2,26,30,False
2023020279,True,EDM,27,23,6,3,20,21,False
2023020303,True,TBL,24,14,2,8,6,22,False
2023020318,True,CBJ,43,23,3,2,21,40,False
2023020328,False,PHI,36,29,4,1,28,32,False
2023020341,True,NYI,43,16,4,5,11,39,False
2023020360,True,BUF,37,22,6,2,20,31,False
2023020377,False,WPG,43,22,1,2,20,42,False
2023020391,False,EDM,39,34,1,6,28,38,False
2023020401,False,CGY,30,27,2,3,24,28,True
2023020419,False,VAN,24,24,3,4,20,21,False
2023020433,False,OTT,28,32,4,1,31,24,False
2023020447,False,DET,39,26,2,1,25,37,False
2023020455,True,NSH,31,30,5,6,24,26,True
2023020475,True,WSH,29,21,1,2,20,28,False
2023020486,True,VGK,39,33,6,3,30,33,False
2023020503,False,PIT,24,25,1,2,24,23,False
2023020516,True,NYI,40,28,4,5,23,36,False
2023020535,False,NSH,25,37,5,2,35,20,False
2023020542,True,MTL,31,21,5,3,18,26,True
2023020561,False,TOR,28,27,3,2,25,25,False
2023020575,False,NYR,27,29,6,1,28,21,False
2023020603,False,WSH,34,17,6,2,15,28,False
2023020608,True,STL,30,22,1,2,21,29,True
2023020639,True,ANA,34,16,6,3,13,28,False
2023020657,True,PIT,35,40,3,2,38,32,False
2023020675,True,LAK,32,26,2,5,21,30,False
2023020702,True,DET,30,12,4,2,10,26,False
2023020719,True,MIN,42,19,2,5,14,40,False
2023020741,False,BOS,33,28,3,2,26,30,False
2023020746,True,NJD,23,25,3,2,23,20,True
2023020763,True,ARI,39,11,3,1,10,36,False
2023020785,True,VAN,24,19,2,3,16,22,False
2023020799,True,COL,27,27,5,2,25,23,False
2023020810,True,NJD,32,34,1,0,34,31,False
2023020830,False,DAL,34,23,2,4,19,32,False
2023020849,False,ARI,30,31,5,1,30,25,False
2023020862,False,VGK,28,30,3,1,29,25,True
2023020874,True,CHI,42,17,6,3,14,36,False
2023020889,True,FLA,29,45,1,0,45,28,False
2023020907,True,DAL,21,16,1,2,14,20,False
2023020918,False,BUF,32,32,2,3,30,30,True
2023020932,False,MIN,28,30,3,2,28,25,False
2023020942,False,CBJ,33,22,4,2,20,29,False
2023020956,True,WPG,35,32,3,5,27,32,False
2023020994,True,MTL,39,25,4,1,24,35,False
2023021011,False,NJD,26,25,4,2,23,22,False
2023021024,True,CGY,40,20,7,2,18,33,True
2023021032,True,NYR,28,24,0,1,23,28,False
2023021046,True,FLA,35,21,4,0,21,31,False
2023021067,False,TOR,40,40,5,4,36,36,False
2023021077,False,OTT,38,32,7,2,30,31,True
2023021087,False,NYI,34,31,4,1,30,30,False
2023021099,True,PHI,33,32,3,2,30,30,False
2023021109,False,WSH,31,25,6,7,19,25,True
2023021127,True,TOR,43,33,2,1,32,41,False
2023021138,False,PIT,39,22,1,4,18,38,False
2023021150,True,DET,33,24,4,0,24,29,False
2023021172,False,MTL,30,26,3,0,26,27,False
2023021202,True,BOS,29,28,1,4,24,28,False
2023021212,True,WSH,45,16,4,2,14,41,True
2023021230,True,CBJ,35,23,3,0,23,32,False
2023021239,False,BOS,26,23,4,1,22,22,False
2023021265,False,STL,42,31,5,2,29,37,False
2023021285,False,CHI,34,16,4,2,14,31,False
2023021296,False,CBJ,41,25,3,6,19,38,False
