gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020011,True,PHI,33,37,2,4,33,31,False
2023020022,True,NYR,21,42,5,3,39,16,False
2023020035,True,DET,23,28,0,4,24,23,False
2023020063,True,CGY,29,37,3,1,36,26,False
2023020073,False,MIN,54,28,5,4,24,49,True
2023020084,True,ANA,37,27,2,3,24,35,False
2023020103,False,MTL,36,29,3,4,25,33,False
2023020120,True,NYI,34,34,0,2,32,34,False
2023020136,False,DAL,25,33,3,5,28,22,False
2023020146,True,TBL,28,29,4,2,27,24,False
2023020166,False,WSH,35,27,1,2,25,34,False
2023020176,False,FLA,23,46,4,5,41,19,False
2023020194,True,DAL,29,31,2,5,26,27,False
2023020210,False,DET,22,28,4,5,23,18,False
2023020225,False,NYR,28,40,3,4,37,25,True
2023020230,True,PIT,30,41,3,5,36,27,False
2023020243,True,ARI,41,32,2,3,29,39,False
2023020263,False,WSH,36,26,3,4,22,33,False
2023020268,False,PHI,22,27,2,5,22,20,True
2023020280,True,CHI,26,36,7,3,33,19,False
2023020296,False,NJD,28,38,2,1,37,26,False
2023020318,False,CAR,23,43,2,3,40,21,False
2023020321,True,BOS,40,33,5,2,31,35,True
2023020337,True,MTL,28,31,2,4,27,26,False
2023020354,True,OTT,23,43,4,2,41,19,False
2023020371,False,BOS,25,28,1,3,25,24,False
2023020381,True,LAK,29,39,3,4,35,26,False
2023020397,False,NYI,35,36,3,7,29,32,False
2023020405,True,STL,22,43,5,2,41,17,True
2023020420,True,FLA,19,35,2,5,30,17,False
2023020449,False,TOR,35,48,6,5,43,29,False
2023020463,True,NJD,26,30,3,6,24,23,False
2023020485,False,BUF,34,29,9,4,25,25,False
2023020499,True,WSH,36,32,2,3,29,34,False
2023020517,True,TOR,28,30,1,4,26,27,False
2023020528,False,NJD,29,35,3,4,31,26,False
2023020546,True,TOR,21,33,6,5,28,15,False
2023020556,False,BUF,20,42,2,3,39,18,True
2023020574,True,BOS,27,27,1,4,23,26,False
2023020592,False,PHI,28,41,3,2,39,26,False
2023020609,True,MIN,29,36,3,4,32,26,False
2023020631,False,WPG,29,23,0,5,18,29,False
2023020658,True,SEA,34,36,4,7,29,30,False
2023020673,True,VAN,43,30,4,3,27,40,False
2023020703,True,NJD,30,33,1,4,29,29,False
2023020736,False,EDM,27,24,1,4,20,26,False
2023020753,False,CGY,32,30,5,2,28,27,False
2023020772,False,VAN,29,34,4,5,29,25,False
2023020774,False,SEA,32,26,2,4,22,30,True
2023020776,False,STL,22,21,1,0,21,21,False
2023020811,True,TBL,35,37,2,4,33,33,False
2023020826,False,OTT,40,30,3,6,24,37,False
2023020861,False,SJS,41,31,4,3,28,37,False
2023020883,False,LAK,33,35,1,5,30,32,False
2023020886,False,ANA,27,31,7,4,27,20,True
2023020900,True,BUF,26,37,1,2,35,25,False
2023020919,True,NYR,41,40,4,2,38,37,False
2023020939,False,NYR,31,30,1,4,26,30,False
2023020942,True,CAR,22,33,2,4,29,20,True
2023020965,False,CHI,31,28,5,2,26,26,False
2023020975,True,VGK,33,39,6,3,36,27,False
2023020983,False,PIT,35,31,3,5,26,32,True
2023020995,True,EDM,34,31,4,2,29,30,False
2023021010,True,NSH,34,49,1,2,47,33,False
2023021033,False,MTL,41,23,0,3,20,41,False
2023021047,True,OTT,37,37,2,3,35,35,False
2023021065,True,SJS,20,41,4,2,39,16,False
2023021075,True,WPG,31,27,1,6,21,30,True
2023021083,False,DET,35,26,3,4,22,32,False
2023021111,False,COL,24,50,1,6,44,23,False
2023021123,False,VGK,22,47,2,4,43,20,True
2023021145,False,ARI,27,35,2,6,29,25,False
2023021154,False,PIT,19,36,2,3,33,17,False
2023021171,True,PIT,37,33,4,3,30,34,False
2023021181,True,COL,25,46,4,1,45,21,False
2023021203,True,NYI,27,41,2,4,37,25,False
2023021222,True,PHI,33,39,6,2,37,27,False
2023021230,False,CAR,23,35,0,3,32,23,True
2023021245,False,TBL,32,33,2,5,28,30,False
2023021256,False,FLA,25,46,0,4,42,25,False
2023021278,False,NSH,37,37,4,6,31,33,False
2023021296,True,CAR,25,41,6,3,38,19,False
