gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020014,True,FLA,21,41,2,0,41,19,False
2023020026,False,TOR,32,33,4,7,26,28,False
2023020041,False,MTL,35,28,5,2,26,30,False
2023020056,True,LAK,32,27,3,7,20,29,False
2023020073,True,CBJ,28,54,4,5,49,24,False
2023020094,True,EDM,32,28,7,4,24,25,False
2023020104,False,PHI,28,35,2,6,29,26,False
2023020114,False,WSH,41,33,2,3,31,39,True
2023020127,False,NJD,34,30,3,4,26,31,False
2023020151,True,NJD,25,38,3,5,33,22,False
2023020169,True,NYR,39,18,5,4,14,35,False
2023020182,False,NYI,31,29,4,2,27,27,False
2023020196,False,NYR,26,28,1,4,24,25,False
2023020204,False,BUF,35,25,2,3,22,33,True
2023020223,True,DAL,26,37,3,8,29,23,False
2023020254,False,OTT,25,31,1,2,30,24,False
2023020267,True,TOR,36,25,3,4,21,33,True
2023020306,True,COL,21,25,2,3,22,19,False
2023020316,False,DET,38,23,1,4,19,37,False
2023020330,True,STL,37,24,3,1,23,34,False
2023020347,False,NSH,31,27,6,1,26,25,False
2023020369,True,CHI,34,29,4,1,28,30,False
2023020385,False,CGY,29,30,5,2,28,24,False
2023020404,False,VAN,26,17,0,2,15,26,False
2023020407,False,EDM,20,40,3,4,36,17,True
2023020426,False,SEA,26,24,3,0,24,23,False
2023020450,True,CGY,32,37,3,2,35,30,False
2023020461,True,VAN,31,36,2,1,35,30,False
2023020480,False,PIT,27,30,3,4,26,24,False
2023020484,False,BOS,30,43,4,3,40,26,True
2023020506,True,MTL,24,25,4,3,22,20,False
2023020518,True,BOS,35,21,3,2,19,33,False
2023020534,True,DET,31,28,6,3,25,25,False
2023020555,False,WPG,36,32,2,4,28,34,False
2023020564,True,WPG,26,29,2,3,26,24,True
2023020578,True,CGY,29,33,1,3,30,28,False
2023020594,True,TBL,23,30,1,4,26,22,False
2023020609,False,CBJ,36,29,4,3,26,32,False
2023020623,True,DAL,23,20,0,4,16,23,False
2023020636,False,DAL,23,34,2,7,27,21,False
2023020652,True,PHI,29,35,3,4,31,26,False
2023020665,True,ARI,38,33,0,6,27,38,True
2023020676,True,NYI,40,21,5,0,21,35,False
2023020695,False,TBL,33,38,3,7,31,30,False
2023020704,False,FLA,26,35,6,4,31,20,True
2023020719,False,CAR,19,42,5,2,40,14,False
2023020734,True,WSH,30,33,5,3,30,25,False
2023020752,True,NSH,24,29,2,3,26,22,False
2023020770,True,ANA,37,25,2,3,22,35,False
2023020793,False,CHI,25,21,2,1,20,23,False
2023020801,True,PIT,30,36,3,2,34,27,False
2023020822,False,VGK,29,30,5,3,27,24,False
2023020836,False,ARI,43,26,3,1,25,40,False
2023020854,True,BUF,32,28,2,3,25,30,False
2023020869,True,VAN,27,24,10,7,17,17,False
2023020880,False,WPG,39,30,3,6,24,36,True
2023020902,False,EDM,20,43,4,2,41,16,False
2023020913,False,SEA,31,32,5,2,30,26,True
2023020932,True,CAR,30,28,2,3,25,28,False
2023020948,False,NSH,34,31,1,6,25,33,False
2023020967,False,STL,22,27,1,3,24,21,False
2023020972,True,SJS,32,15,4,3,12,28,True
2023021001,False,ARI,28,25,5,2,23,23,False
2023021006,False,COL,30,40,1,2,38,29,True
2023021023,True,NSH,33,30,4,3,27,29,False
2023021037,True,ARI,31,23,4,1,22,27,False
2023021054,True,ANA,31,16,2,0,16,29,False
2023021069,False,STL,24,37,2,3,35,22,False
2023021091,False,ANA,32,27,4,0,27,28,False
2023021097,False,LAK,31,27,0,6,21,31,True
2023021115,True,STL,34,27,4,5,22,30,False
2023021156,True,SJS,32,27,3,1,26,29,False
2023021166,True,VGK,33,31,1,2,29,32,False
2023021193,True,OTT,19,32,3,2,30,16,False
2023021207,True,COL,46,36,2,5,31,44,False
2023021219,True,WPG,27,25,2,4,21,25,False
2023021229,False,CHI,37,24,4,0,24,33,True
2023021248,False,COL,22,32,2,5,27,20,False
2023021269,False,VGK,27,30,2,7,23,25,False
2023021282,False,SJS,38,29,6,2,27,32,True
2023021294,False,LAK,28,24,3,1,23,25,False
2023021307,True,SEA,24,27,3,4,23,21,False
