gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020011,False,CBJ,37,33,4,2,31,33,False
2023020019,False,OTT,21,31,2,5,26,19,False
2023020042,True,VAN,42,26,2,0,26,40,False
2023020054,True,EDM,32,23,4,1,22,28,False
2023020072,False,DAL,40,25,4,5,20,36,False
2023020098,False,VGK,28,29,2,3,26,26,False
2023020104,True,MIN,35,28,6,2,26,29,False
2023020117,True,ANA,30,25,4,7,18,26,False
2023020131,True,CAR,28,32,2,3,29,26,False
2023020141,True,BUF,40,15,2,5,10,38,False
2023020157,False,BUF,19,22,5,1,21,14,False
2023020163,True,LAK,24,30,0,5,25,24,True
2023020189,False,SJS,39,19,1,2,17,38,False
2023020208,False,ANA,36,38,6,3,35,30,False
2023020221,False,LAK,26,37,4,2,35,22,True
2023020238,False,CAR,24,32,3,1,31,21,False
2023020255,True,VGK,38,31,4,3,28,34,False
2023020268,True,CBJ,27,22,5,2,20,22,True
2023020286,False,NYI,36,25,2,3,22,34,False
2023020294,True,NYR,37,19,1,3,16,36,False
2023020312,False,NYI,40,25,1,0,25,40,True
2023020328,True,CAR,29,36,1,4,32,28,False
2023020344,True,NJD,47,35,3,4,31,44,False
2023020363,False,PIT,33,32,4,3,29,30,False
2023020374,True,PIT,33,32,2,1,31,31,False
2023020400,False,ARI,26,26,4,1,25,22,False
2023020417,False,COL,34,38,5,2,36,29,False
2023020435,False,NSH,39,22,2,3,19,37,False
2023020448,True,WSH,32,30,4,3,27,29,False
2023020465,True,DET,34,32,1,0,32,33,False
2023020487,False,NJD,26,26,3,2,24,23,False
2023020502,True,NSH,31,31,2,4,27,29,False
2023020510,False,DET,43,37,6,7,31,37,True
2023020543,False,VAN,25,27,4,1,26,21,False
2023020554,False,SEA,28,29,1,2,27,27,True
2023020570,False,CGY,31,33,3,4,29,28,False
2023020583,False,EDM,37,36,2,5,31,35,False
2023020592,True,CBJ,41,28,2,3,26,39,False
2023020605,True,CGY,42,24,3,2,22,39,False
2023020622,True,PIT,37,39,1,4,35,36,False
2023020635,True,MTL,39,19,3,2,17,37,False
2023020652,False,MIN,35,29,4,3,26,31,False
2023020663,False,WPG,36,35,2,0,35,34,True
2023020679,False,STL,42,30,4,2,28,38,False
2023020694,True,DAL,43,15,5,1,14,38,False
2023020707,True,COL,40,25,4,7,18,36,False
2023020718,True,OTT,25,34,3,5,29,22,True
2023020732,True,TBL,32,21,3,6,15,29,False
2023020747,False,DET,30,17,0,3,14,30,False
2023020759,True,BOS,37,28,2,6,22,35,False
2023020786,False,FLA,25,21,2,1,20,23,False
2023020797,True,WPG,21,29,4,1,28,17,False
2023020813,True,SEA,38,19,3,2,17,35,False
2023020821,True,ARI,34,23,5,3,20,29,False
2023020843,False,TOR,32,28,3,4,24,29,False
2023020859,False,NJD,48,40,3,6,34,45,False
2023020885,False,CHI,33,22,3,1,21,30,False
2023020905,True,NYR,40,24,1,2,22,39,False
2023020917,False,PIT,21,32,6,7,25,15,True
2023020930,True,TBL,31,22,6,2,20,25,False
2023020954,False,WSH,23,21,2,5,16,21,False
2023020962,True,OTT,40,26,4,2,24,36,True
2023020977,True,STL,42,25,1,2,24,41,False
2023020996,False,FLA,26,30,2,1,29,24,False
2023021016,False,TBL,25,26,0,7,19,25,False
2023021035,True,SJS,41,29,3,2,27,38,False
2023021050,True,TOR,28,27,2,6,21,26,False
2023021064,False,BOS,29,30,5,6,24,24,False
2023021086,True,TOR,30,30,4,3,27,26,False
2023021099,False,CAR,32,33,2,3,30,30,False
2023021114,True,BOS,29,20,3,2,18,26,False
2023021129,True,FLA,33,15,1,4,11,32,True
2023021137,False,NYR,42,27,5,6,21,37,False
2023021152,False,MTL,30,17,1,4,13,29,False
2023021173,True,CHI,31,24,1,5,19,30,False
2023021183,True,NYI,34,27,3,4,23,31,False
2023021211,False,BUF,34,19,2,4,15,32,False
2023021222,False,CBJ,39,33,2,6,27,37,True
2023021242,False,MTL,36,30,3,9,21,33,False
2023021257,False,NYR,26,25,4,1,24,22,False
2023021274,True,NJD,21,20,1,0,20,20,False
2023021299,True,WSH,28,18,1,2,16,27,False
