gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020002,True,CHI,41,36,2,4,32,39,False
2023020018,False,WSH,35,19,4,0,19,31,False
2023020025,True,CGY,29,36,5,2,34,24,True
2023020050,False,DET,33,29,3,6,23,30,False
2023020075,False,STL,33,21,2,4,17,31,False
2023020088,True,DAL,39,34,1,4,30,38,False
2023020105,True,COL,29,31,4,0,31,25,False
2023020123,True,OTT,43,26,2,5,21,41,False
2023020132,True,ANA,42,27,3,4,23,39,False
2023020171,False,SJS,35,26,10,2,24,25,False
2023020187,False,ANA,36,31,2,0,31,34,False
2023020202,False,LAK,20,36,4,3,33,16,False
2023020217,True,BUF,39,35,4,0,35,35,False
2023020230,False,CBJ,41,30,5,3,27,36,False
2023020245,True,NJD,23,31,2,5,26,21,False
2023020259,False,CAR,28,34,2,4,30,26,False
2023020269,True,VGK,32,38,3,0,38,29,True
2023020283,True,NYR,32,36,0,1,35,32,False
2023020301,False,BUF,33,34,2,3,31,31,False
2023020311,True,TOR,35,33,3,2,31,32,True
2023020331,False,NSH,31,25,2,3,22,29,False
2023020345,False,TBL,29,41,4,2,39,25,False
2023020363,True,PHI,32,33,3,4,30,29,False
2023020374,False,PHI,32,33,1,2,31,31,False
2023020389,False,TBL,25,27,1,3,24,24,False
2023020406,False,FLA,26,33,1,3,30,25,False
2023020434,True,ARI,43,21,4,2,19,39,False
2023020442,False,MTL,30,42,4,3,39,27,True
2023020466,False,TOR,38,35,0,7,28,38,False
2023020480,True,MIN,30,27,4,3,24,26,False
2023020503,True,CAR,25,24,2,1,23,24,False
2023020520,False,OTT,34,26,4,5,21,30,False
2023020533,False,NYI,32,22,7,0,22,25,False
2023020559,True,STL,30,27,4,2,25,26,False
2023020567,True,NYI,38,38,3,1,37,35,True
2023020576,True,WSH,35,22,3,4,18,32,False
2023020589,False,BOS,35,29,6,5,24,29,False
2023020612,True,BUF,41,32,1,3,29,40,False
2023020622,False,PHI,39,37,4,1,36,35,False
2023020643,True,VAN,35,29,3,4,25,32,False
2023020657,False,CAR,40,35,2,3,32,38,False
2023020677,True,SEA,33,22,3,0,22,30,False
2023020716,False,VGK,25,29,2,3,26,23,False
2023020727,False,ARI,27,26,2,5,22,25,False
2023020756,True,FLA,37,31,2,3,29,35,False
2023020766,True,MTL,33,27,3,2,25,30,True
2023020788,True,WPG,27,23,3,0,23,24,False
2023020801,False,MIN,36,30,2,3,27,34,False
2023020814,False,WPG,36,31,1,2,29,35,True
2023020834,True,FLA,27,23,2,5,18,25,False
2023020845,False,CHI,27,28,4,1,27,23,True
2023020865,True,LAK,30,34,1,2,32,29,False
2023020878,True,NYI,41,33,4,5,28,37,False
2023020893,True,MTL,27,31,4,1,30,23,False
2023020917,True,PHI,32,21,7,6,15,25,False
2023020937,False,VAN,40,35,4,3,32,36,False
2023020950,False,SEA,33,28,0,2,26,33,False
2023020968,False,CGY,30,20,3,4,16,27,False
2023020974,False,EDM,23,37,1,6,31,22,True
2023020983,True,CBJ,31,35,5,3,32,26,False
2023020998,True,WSH,39,29,0,6,23,39,False
2023021012,False,BOS,39,23,1,5,18,38,False
2023021022,True,EDM,41,42,0,4,38,41,True
2023021034,False,OTT,35,39,1,2,37,34,False
2023021051,True,SJS,31,32,6,3,29,25,False
2023021061,True,NYR,37,28,4,7,21,33,False
2023021078,True,DET,38,28,6,3,25,32,True
2023021084,False,NJD,38,38,2,5,33,36,False
2023021110,False,DAL,22,23,2,4,19,20,False
2023021125,False,COL,34,30,4,5,25,30,False
2023021138,True,CAR,22,39,4,1,38,18,False
2023021154,True,CBJ,36,19,3,2,17,33,False
2023021171,False,CBJ,33,37,3,4,34,30,False
2023021182,False,NYR,20,30,5,2,28,15,False
2023021191,False,NJD,21,26,6,3,23,15,True
2023021206,False,WSH,24,31,4,1,30,20,False
2023021217,True,TBL,28,34,5,4,30,23,False
2023021237,False,TOR,33,23,2,3,20,31,False
2023021258,True,DET,27,30,6,5,25,21,False
2023021279,True,BOS,32,31,4,6,25,28,False
2023021289,True,NSH,38,30,4,2,28,34,False
2023021303,False,NYI,44,32,4,5,27,40,False
