gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020009,True,EDM,32,27,8,1,26,24,False
2023020029,False,EDM,16,40,4,3,37,12,False
2023020042,False,PHI,26,42,0,2,40,26,False
2023020055,False,TBL,29,36,3,4,32,26,False
2023020068,False,FLA,31,36,5,3,34,26,False
2023020095,False,NSH,24,18,3,2,16,21,False
2023020116,True,STL,35,22,5,0,22,30,False
2023020124,True,NYR,33,24,3,4,20,30,True
2023020140,True,NSH,27,29,5,2,27,22,False
2023020156,False,SJS,33,31,10,1,30,23,False
2023020172,True,DAL,28,27,2,0,27,26,False
2023020179,True,EDM,36,43,6,2,41,30,False
2023020197,False,OTT,16,30,5,2,28,11,False
2023020215,False,TOR,33,22,2,5,17,31,False
2023020224,False,MTL,37,32,5,2,30,32,True
2023020241,True,NYI,43,33,4,3,30,39,False
2023020247,False,CGY,22,39,2,5,34,20,True
2023020265,True,SEA,24,26,3,4,22,21,False
2023020278,True,SJS,37,28,3,1,27,34,False
2023020291,False,COL,29,25,2,5,20,27,False
2023020307,False,SEA,27,24,5,1,23,22,False
2023020314,False,SJS,33,22,3,4,18,30,True
2023020336,True,ANA,27,31,3,1,30,24,False
2023020353,True,VGK,22,44,1,4,40,21,False
2023020367,False,CGY,22,24,4,3,21,18,False
2023020387,True,NJD,33,32,5,6,26,28,False
2023020404,True,MIN,17,26,2,0,26,15,False
2023020419,True,CAR,24,24,4,3,21,20,False
2023020439,True,TBL,22,29,4,1,28,18,False
2023020454,True,FLA,18,36,4,0,36,14,False
2023020461,False,MIN,36,31,1,2,30,35,False
2023020474,False,CHI,27,28,4,3,25,23,True
2023020491,False,NSH,35,28,5,2,26,30,False
2023020505,False,DAL,20,36,3,4,32,17,False
2023020527,True,SJS,26,25,7,4,21,19,False
2023020543,True,PHI,27,25,1,4,21,26,False
2023020584,True,OTT,26,38,6,3,35,20,False
2023020596,False,STL,26,32,1,2,30,25,False
2023020611,False,NJD,43,25,6,4,21,37,False
2023020621,False,NYR,26,42,6,3,39,20,False
2023020628,False,NYI,34,20,5,2,18,29,True
2023020643,False,PIT,29,35,4,3,32,25,False
2023020654,False,BUF,23,26,1,0,26,22,False
2023020673,False,CBJ,30,43,3,4,40,27,False
2023020700,True,ARI,26,21,2,1,20,24,False
2023020712,True,TOR,21,46,6,4,42,15,False
2023020728,True,CHI,29,31,2,0,31,27,False
2023020744,True,STL,32,18,3,4,14,29,False
2023020772,True,CBJ,34,29,5,4,25,29,False
2023020785,False,CAR,19,24,3,2,22,16,False
2023020794,False,BOS,17,24,0,4,20,17,False
2023020805,False,DET,31,28,3,4,24,28,False
2023020818,False,WSH,29,33,3,2,31,26,True
2023020832,False,CHI,38,24,4,2,22,34,False
2023020848,True,DET,21,28,4,1,27,17,False
2023020860,True,WPG,37,28,2,4,24,35,False
2023020869,False,MIN,24,27,7,10,17,17,False
2023020881,False,COL,25,27,1,3,24,24,True
2023020897,False,SEA,21,31,2,5,26,19,False
2023020911,True,BOS,39,25,3,2,23,36,False
2023020937,True,PIT,35,40,3,4,36,32,False
2023020951,True,LAK,24,20,1,5,15,23,False
2023020973,False,ANA,31,18,2,1,17,29,False
2023020988,False,LAK,31,24,2,1,23,29,False
2023021002,False,VGK,35,28,3,1,27,32,False
2023021019,True,WPG,37,22,5,0,22,32,False
2023021044,True,COL,21,34,3,4,30,18,False
2023021072,True,WSH,22,24,1,2,22,21,False
2023021093,True,BUF,34,17,3,2,15,31,False
2023021106,True,MTL,25,17,4,1,16,21,False
2023021120,True,CGY,26,24,4,2,22,22,False
2023021135,True,LAK,23,19,2,3,16,21,False
2023021163,True,DAL,28,34,1,3,31,27,False
2023021180,True,ANA,30,22,3,2,20,27,False
2023021196,False,VGK,30,30,3,6,24,27,False
2023021200,False,ARI,33,21,2,1,20,31,True
2023021227,False,LAK,42,29,3,6,23,39,False
2023021238,True,VGK,30,23,4,3,20,26,False
2023021254,True,ARI,26,18,3,4,14,23,False
2023021280,False,EDM,27,33,3,1,32,24,False
2023021302,True,CGY,31,40,4,1,39,27,False
2023021308,False,WPG,20,26,2,4,22,18,False
