gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020007,False,CGY,37,22,3,5,17,34,False
2023020020,True,FLA,35,33,6,4,29,29,False
2023020045,True,LAK,27,29,1,5,24,26,False
2023020058,True,VGK,39,27,3,5,22,36,False
2023020077,False,EDM,27,40,3,2,38,24,False
2023020093,True,STL,30,20,4,2,18,26,False
2023020102,False,DET,29,36,4,1,35,25,False
2023020121,False,MTL,45,29,3,4,26,42,False
2023020135,True,NYR,29,26,2,3,23,27,False
2023020155,False,VGK,31,26,2,5,21,29,False
2023020160,False,ARI,27,25,5,3,22,22,False
2023020184,False,STL,37,22,5,2,20,32,False
2023020200,True,NSH,37,23,6,3,20,31,False
2023020211,True,DAL,33,29,2,3,26,31,False
2023020236,True,NJD,31,34,6,3,31,25,False
2023020252,True,BUF,18,28,3,2,26,15,False
2023020262,True,ARI,26,18,5,2,16,21,True
2023020284,False,TBL,32,33,3,2,31,29,False
2023020304,False,FLA,31,33,3,0,33,28,False
2023020319,False,NSH,34,26,2,3,23,32,False
2023020332,True,DAL,27,21,0,2,19,27,False
2023020349,True,EDM,26,39,1,3,36,25,False
2023020357,True,CHI,28,21,3,1,20,25,False
2023020377,True,CAR,22,43,2,1,42,20,False
2023020402,False,COL,28,34,4,2,32,24,False
2023020425,False,ANA,31,26,4,2,24,27,False
2023020441,False,SJS,37,32,1,2,30,36,False
2023020446,False,LAK,29,34,5,2,32,24,True
2023020467,True,COL,25,32,6,2,30,19,False
2023020481,True,MTL,32,26,2,3,23,30,False
2023020495,True,DET,41,28,5,2,26,36,False
2023020512,True,BOS,33,25,5,1,24,28,False
2023020538,False,CHI,38,25,1,2,23,37,False
2023020555,True,MIN,32,36,4,2,34,28,False
2023020564,False,MIN,29,26,3,2,24,26,True
2023020580,True,TBL,28,34,4,2,32,24,False
2023020601,False,SJS,30,28,2,1,27,28,False
2023020604,False,ANA,27,38,3,1,37,24,True
2023020619,False,ARI,36,17,6,2,15,31,False
2023020631,True,CBJ,23,29,5,0,29,18,False
2023020648,True,CHI,28,21,2,1,20,26,False
2023020663,True,PHI,35,36,0,2,34,35,False
2023020685,True,NYI,44,37,4,2,35,40,False
2023020709,False,OTT,29,35,2,1,34,27,False
2023020724,False,BOS,21,21,1,4,17,20,False
2023020740,False,TOR,32,30,0,1,29,32,False
2023020768,True,TOR,26,30,2,4,26,24,False
2023020788,False,PIT,23,27,0,3,24,23,False
2023020797,False,PHI,29,21,1,4,17,28,False
2023020814,True,PIT,31,36,2,1,35,29,False
2023020835,True,SJS,39,17,1,0,17,38,False
2023020860,False,VAN,28,37,4,2,35,24,False
2023020872,False,CGY,31,34,3,6,28,28,False
2023020880,True,MIN,30,39,6,3,36,24,True
2023020901,False,CHI,31,35,3,2,33,28,False
2023020921,True,ARI,32,32,4,3,29,28,False
2023020934,True,STL,32,38,4,2,36,28,False
2023020947,False,DAL,26,36,1,4,32,25,False
2023020956,False,CAR,32,35,5,3,32,27,False
2023020971,False,BUF,35,19,5,2,17,30,True
2023020986,True,SEA,33,24,3,4,20,30,False
2023021008,False,SEA,32,17,3,0,17,29,False
2023021019,False,VAN,22,37,0,5,32,22,True
2023021029,True,WSH,29,23,3,0,23,26,False
2023021042,True,NSH,29,38,2,4,34,27,False
2023021057,True,ANA,38,21,6,0,21,32,False
2023021075,False,CBJ,27,31,6,1,30,21,False
2023021085,False,NYR,27,41,4,2,39,23,False
2023021102,False,NJD,19,41,1,4,37,18,False
2023021113,False,NYI,35,39,3,6,33,32,False
2023021124,False,WSH,27,19,0,3,16,27,True
2023021142,True,EDM,25,42,3,4,38,22,False
2023021158,True,VGK,40,27,1,4,23,39,False
2023021175,True,OTT,30,27,2,3,24,28,False
2023021187,True,LAK,32,28,4,3,25,28,False
2023021209,True,CGY,45,33,5,2,31,40,False
2023021219,False,MIN,25,27,4,2,25,21,False
2023021247,False,NSH,22,48,4,3,45,18,False
2023021262,False,DAL,24,24,3,0,24,21,False
2023021272,False,COL,26,30,7,0,30,19,False
2023021300,True,SEA,24,23,4,3,20,20,False
2023021308,True,VAN,26,20,4,2,18,22,False
