gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack
2023020018,True,PIT,19,35,0,4,31,19,False
2023020039,True,CGY,23,40,3,2,38,21,False
2023020049,False,OTT,24,29,1,6,23,23,False
2023020069,False,MTL,33,28,2,3,25,31,False
2023020083,True,TOR,38,17,1,4,13,37,False
2023020099,False,NJD,25,22,6,4,18,19,True
2023020114,True,MIN,33,41,3,2,39,31,False
2023020128,True,SJS,42,31,3,1,30,39,False
2023020150,True,NYI,32,21,0,3,18,32,False
2023020166,True,CBJ,27,35,2,1,34,25,False
2023020191,True,FLA,28,25,3,4,21,25,False
2023020206,False,NJD,27,26,4,2,24,23,False
2023020216,False,NYI,28,37,4,1,36,24,True
2023020232,True,VGK,31,35,3,0,35,28,False
2023020263,True,CBJ,26,36,4,3,33,22,False
2023020285,True,BUF,30,27,4,3,24,26,False
2023020298,True,EDM,25,35,0,5,30,25,False
2023020326,False,SJS,34,23,1,2,21,33,False
2023020339,False,LAK,15,39,2,1,38,13,False
2023020352,False,ANA,26,32,5,4,28,21,True
2023020368,False,VGK,22,36,1,4,32,21,False
2023020378,False,ARI,26,27,0,6,21,26,False
2023020396,True,DAL,27,38,4,5,34,23,False
2023020414,True,NYR,29,31,4,0,31,25,False
2023020422,False,CHI,27,34,4,2,32,23,True
2023020448,False,PHI,30,32,3,4,29,27,False
2023020468,False,NSH,22,23,1,3,20,21,False
2023020475,False,CAR,21,29,2,1,28,20,True
2023020496,True,NYI,36,32,3,2,30,33,False
2023020499,False,CBJ,32,36,3,2,34,29,True
2023020521,True,TBL,34,20,1,2,19,33,False
2023020529,False,NYR,27,31,1,5,26,26,False
2023020550,False,NYI,27,32,1,5,27,26,False
2023020562,True,NSH,29,36,2,3,34,27,True
2023020576,False,PIT,22,35,4,3,32,18,False
2023020587,True,NJD,26,28,3,6,22,23,True
2023020603,True,CAR,17,34,2,6,28,15,False
2023020618,True,LAK,34,41,4,3,38,30,False
2023020645,True,SEA,26,23,1,4,19,25,False
2023020653,True,NYR,21,27,3,2,25,18,False
2023020669,False,NYR,25,31,1,2,29,24,True
2023020683,True,ANA,28,24,2,0,24,26,False
2023020696,True,STL,26,20,5,2,18,21,False
2023020713,False,STL,18,29,0,3,26,18,False
2023020734,False,MIN,33,30,3,5,25,30,False
2023020742,False,COL,25,31,2,6,25,23,True
2023020760,False,DAL,28,35,4,5,30,24,False
2023020789,True,MTL,39,26,2,5,21,37,False
2023020795,False,FLA,23,41,2,4,37,21,False
2023020808,False,BOS,29,18,3,0,18,26,False
2023020818,True,VAN,33,29,2,3,26,31,True
2023020828,True,COL,27,37,3,6,31,24,False
2023020857,False,MTL,34,31,4,3,28,30,False
2023020879,True,NJD,26,39,6,2,37,20,False
2023020894,False,TBL,24,32,5,3,29,19,False
2023020906,False,FLA,24,29,2,3,26,22,False
2023020923,True,OTT,20,21,6,3,18,14,False
2023020927,False,DET,21,31,3,8,23,18,True
2023020954,True,PHI,21,23,5,2,21,16,False
2023020969,True,ARI,26,28,2,5,23,24,False
2023020998,False,PIT,29,39,6,0,39,23,False
2023021017,True,CHI,26,32,4,1,31,22,False
2023021029,False,WPG,23,29,0,3,26,23,False
2023021043,False,EDM,25,37,2,7,30,23,False
2023021056,False,SEA,23,24,2,1,23,21,True
2023021072,False,VAN,24,22,2,1,21,22,False
2023021080,False,CGY,33,36,5,2,34,28,False
2023021095,True,TOR,21,29,3,7,22,18,False
2023021109,True,CAR,25,31,7,6,25,19,False
2023021124,True,WPG,19,27,3,0,27,16,False
2023021140,True,DET,30,33,4,3,30,26,False
2023021155,False,TOR,24,48,1,5,43,23,False
2023021176,True,BOS,20,29,2,3,27,18,False
2023021189,False,BUF,26,35,2,6,29,24,False
2023021206,True,PIT,31,24,1,4,20,30,False
2023021212,False,CAR,16,45,2,4,41,14,True
2023021232,True,OTT,22,21,2,3,18,20,False
2023021240,False,DET,23,43,2,1,42,21,False
2023021255,False,BUF,24,17,2,4,13,22,False
2023021275,True,TBL,34,34,4,2,32,30,False
2023021291,True,BOS,25,16,2,0,16,23,False
2023021299,False,PHI,18,28,2,1,27,16,True
